x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.40489929,0.45666553,0.238710718,0.426477438,0.126769249,-0.455135012,0.048870862,0.083980574,0.064442409,-0.074857837,-0.038063616,-0.060939139
0.743159302,0.663751176,0.040857246,0.523034964,0.102042487,-0.320010099,0.018472132,0.058234106,0.064824918,-0.062657312,-0.032767886,-0.024819638
0.909135745,0.162723893,0.94902741,0.601462,0.07789164,-0.228551937,0.008796991,0.070448659,0.006972349,-0.044746417,0.017976957,-0.04511582
0.91215186,0.224180246,0.660943203,0.007651007,0.73416929,-3.557358171,-0.576306895,0.414771641,-0.218400898,-0.972347567,-1.190409157,-1.359765958
0.461223527,0.824193509,0.097532203,0.323533146,0.2063994,-0.732205214,0.065192821,0.058096685,0.130634262,-0.159345118,-0.163583886,-0.097255758
0.739631359,0.568469752,0.311031275,0.915763262,0.035583885,-0.095452915,0.010319162,0.026907869,0.01686048,-0.012269545,0.005085173,-0.007273163
0.563838362,0.620452084,0.026428597,0.282520734,0.219178628,-0.843074205,0.045003414,0.091493612,0.155598859,-0.196553074,-0.167600553,-0.095331081
0.871363072,0.549113353,0.333699611,0.448924986,0.144088467,-0.474146508,0.007994976,0.087486612,0.063416592,-0.102635021,-0.049959135,-0.075167559
0.883462635,0.043011662,0.988376409,0.136813134,0.326632864,-1.239027151,-0.104137924,0.308472904,-0.148433584,-0.389008634,-0.130887561,-0.354756656
0.390449776,0.922282569,0.904809395,0.110325215,0.511586849,-1.617348502,0.156088692,-0.143137847,-0.209053138,-0.662272247,-0.669847181,-0.624469214
0.910343213,0.293508248,0.294106979,0.542945697,0.087127855,-0.277352102,0.007285095,0.0710027,0.041140718,-0.054330223,0.002922545,-0.035513209
0.372072029,0.934681185,0.121586646,0.87972074,0.03972625,-0.105293759,0.017716814,0.023292375,0.022120931,-0.00968112,-0.003925499,-0.005264643
0.503925316,0.057976967,0.127189454,0.538796327,0.060234373,-0.202888256,0.020422014,0.058020743,0.03480624,-0.031257264,0.01770727,-0.018068521
0.637727832,0.35463848,0.102098984,0.25528617,0.226207458,-0.944832548,0.026314368,0.146824849,0.146210031,-0.220779825,-0.128541088,-0.129337539
0.312550689,0.551144426,0.476387007,0.324254071,0.208161532,-0.799336269,0.092743757,0.108269277,0.063049219,-0.139924335,-0.124931979,-0.162148425
0.65131022,0.527965058,0.837587261,0.452291481,0.155701109,-0.504150252,0.033364434,0.097175022,0.012715215,-0.103702696,-0.050204044,-0.10981382
0.765462621,0.568693915,0.021825724,0.710677246,0.05421488,-0.156557011,0.012562626,0.038168037,0.033545836,-0.025306009,-0.001346175,-0.00746029
0.943546278,0.27147421,0.982651773,0.079577226,0.471300551,-1.668004206,-0.260240698,0.277194384,-0.28820143,-0.571309182,-0.551976496,-0.53877189
0.203477488,0.496101881,0.829310427,0.311843934,0.211248316,-0.783174324,0.114370183,0.117983371,-0.003283623,-0.126075343,-0.122101172,-0.187944507
0.226502968,0.133048066,0.718936831,0.466274873,0.092488409,-0.321685701,0.047761222,0.083898547,0.015968661,-0.03989809,0.011544377,-0.06180501
0.31076602,0.035404444,0.756203117,0.467926682,0.08792133,-0.304441914,0.040239791,0.085753416,0.012964428,-0.042815878,0.022406153,-0.059321137
0.61294075,0.76994737,0.733817095,0.628577326,0.102020496,-0.295535976,0.029937888,0.057317309,0.022919801,-0.04927479,-0.025857958,-0.052910921
0.445328981,0.925839801,0.699136367,0.789835181,0.066306164,-0.178289543,0.026925405,0.036787599,0.01883326,-0.02094923,-0.011472736,-0.026533715
0.570402766,0.856349567,0.787710492,0.538778985,0.138358996,-0.408100638,0.041078721,0.063253251,0.022019847,-0.075508287,-0.058787202,-0.084200079
0.049267389,0.359895083,0.593786727,0.030164252,0.659221555,-3.913592576,0.565770927,0.235808156,-0.074851281,-0.690923427,-1.092140975,-1.167992215
0.905581156,0.548497422,0.485940264,0.408245063,0.174833623,-0.581339408,0.000353774,0.101991609,0.056083275,-0.132802121,-0.073304622,-0.114812397
0.6971559,0.181745646,0.862460136,0.990127843,0.025387789,-0.066279991,0.008116826,0.023527449,0.006424779,-0.007640895,0.011567472,-0.008610065
0.274294361,0.698395665,0.004387291,0.177672385,0.307325278,-1.308409864,0.144933678,0.056391795,0.241911257,-0.290949598,-0.34895243,-0.16887931
0.029471291,0.650928621,0.216479691,0.110075361,0.409747726,-1.947472691,0.330349176,0.039385641,0.22394608,-0.302638939,-0.565189144,-0.44657807
0.613732142,0.106138129,0.190378123,0.819799935,0.028395171,-0.081493969,0.009370404,0.026986585,0.014988842,-0.01017902,0.012376621,-0.005359154
