x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.346140911,0.121277522,0.655291412,0.915751684,0.024077261,-0.066263017,0.01104579,0.022824837,0.007853216,-0.00525951,0.011310635,-0.007765462
0.190323491,0.672387171,0.565216909,0.376955777,0.175394533,-0.62081042,0.096044692,0.081342418,0.043605383,-0.087284582,-0.102153882,-0.129037044
0.499615613,0.860624898,0.667403506,0.886805347,0.049899189,-0.131257146,0.019471253,0.031010958,0.015788793,-0.0143492,-0.002674665,-0.01695132
0.687537547,0.995270454,0.907276886,0.953992706,0.052008092,-0.128329922,0.016554033,0.030512066,0.011808064,-0.016329072,-0.003697381,-0.018917239
0.723244787,0.762359026,0.30131042,0.45221592,0.15482785,-0.499560892,0.025242313,0.070783608,0.071757344,-0.106126965,-0.077881757,-0.076985295
0.770906002,0.137213745,0.640362928,0.103897197,0.462113497,-2.243621169,-0.10903876,0.372527702,-0.023808195,-0.62716386,-0.352583182,-0.651665679
0.641187092,0.910015361,0.77515606,0.453011863,0.18559553,-0.556389744,0.041160958,0.065473245,0.023477016,-0.122871699,-0.108903037,-0.129030544
0.764651699,0.546489335,0.315860055,0.272945893,0.2654926,-1.021947545,0.002105425,0.126769955,0.116028168,-0.253826582,-0.193311943,-0.203135516
0.289990568,0.627359194,0.238469983,0.338861124,0.18366803,-0.69101128,0.08559741,0.085830168,0.093632143,-0.116059735,-0.11584249,-0.108219167
0.980074862,0.101089634,0.891932522,0.131969732,0.351013144,-1.330376254,-0.159946543,0.304564712,-0.119447104,-0.386594679,-0.195215045,-0.418830754
0.302444172,0.165243376,0.439707925,0.076789509,0.518832911,-3.079532096,0.217784515,0.387657186,0.108819952,-0.702416588,-0.504187068,-0.771009602
0.708059165,0.654525952,0.852901127,0.539082977,0.130015691,-0.389883887,0.02727108,0.076093197,0.015338413,-0.076663873,-0.037849613,-0.080574515
0.785280491,0.971914303,0.793190325,0.139384994,0.4879869,-1.383810752,-0.091419922,-0.121026615,-0.096376321,-0.609485667,-0.596596306,-0.607578252
0.025270534,0.607655367,0.127330334,0.580071682,0.064429747,-0.202909484,0.040936567,0.040846795,0.036975652,-0.012799984,-0.012913936,-0.017589754
0.227017217,0.626736057,0.760917557,0.642334725,0.077328078,-0.230092399,0.039659862,0.050172184,0.016526453,-0.022988409,-0.010776243,-0.039797064
0.209040193,0.537880375,0.336038281,0.016333304,0.807261357,-4.908444429,0.465705658,-0.007901515,0.273238837,-1.246845977,-1.515432259,-1.423024729
0.342106509,0.501437955,0.456476026,0.278935798,0.244195558,-0.992783036,0.100836219,0.128445289,0.07443554,-0.189198145,-0.163275277,-0.208147276
0.309364631,0.569317872,0.009671707,0.494297445,0.090398068,-0.302055884,0.041593992,0.055825038,0.059793477,-0.04158887,-0.026252538,-0.021176931
0.636584366,0.354367308,0.593662008,0.901769061,0.033881558,-0.09243761,0.011254708,0.028669351,0.011886031,-0.010969919,0.009550484,-0.010538733
0.688188837,0.000906099,0.263814808,0.371986095,0.116424832,-0.440950408,0.017201803,0.116340029,0.056919472,-0.091049614,0.022664102,-0.065763563
0.66396887,0.587539912,0.155443657,0.099129162,0.520105953,-2.454155946,-0.048296622,0.082469916,0.330484384,-0.740377016,-0.731785068,-0.534866266
0.783535643,0.79116112,0.010516388,0.730789614,0.059008738,-0.163915686,0.013454411,0.035208823,0.036708578,-0.02701456,-0.009074165,-0.007246327
0.744645525,0.580067579,0.390589976,0.869767058,0.042203622,-0.114783403,0.011780304,0.031272352,0.018452418,-0.015556584,0.004327596,-0.01077699
0.215429673,0.024294293,0.337522438,0.366814271,0.107212765,-0.420879117,0.056610837,0.105101385,0.045999942,-0.057016626,0.016123119,-0.067172061
0.806905693,0.121988702,0.159715156,0.999781485,0.018317201,-0.048483488,0.005077506,0.017423249,0.009820223,-0.005920683,0.009244762,-0.002063341
0.949377741,0.394231694,0.754069648,0.388649987,0.178952656,-0.590168031,-0.008508098,0.123719892,0.018855014,-0.139697786,-0.054567874,-0.13811567
0.274049759,0.036997579,0.071206639,0.264239628,0.148070923,-0.649271155,0.070573,0.142744354,0.099776475,-0.110334509,-0.006361345,-0.076737119
0.236449385,0.270862596,0.846346491,0.464357404,0.10706095,-0.362886688,0.054545892,0.086763822,0.008843165,-0.047144859,-0.004620423,-0.074204705
0.476464351,0.966884472,0.321383373,0.462265642,0.153970284,-0.480000162,0.052507771,0.049464698,0.069269679,-0.090178392,-0.092193779,-0.076921143
0.31077338,0.026763954,0.394003124,0.2170827,0.21816593,-1.021585276,0.094889888,0.211915449,0.07545233,-0.192269253,-0.027696964,-0.207445944
0.914929151,0.328585858,0.797872266,0.869768248,0.041435379,-0.110633977,0.008415326,0.035355961,0.010581085,-0.016792653,0.011666752,-0.015799742
0.495340416,0.120232168,0.957968748,0.471010519,0.102993235,-0.340235837,0.033973709,0.094405912,0.00093148,-0.060216152,0.015111741,-0.071414414
0.029888882,0.491984925,0.640695834,0.009798825,0.743402017,-4.187080228,0.686619771,0.039506251,-0.187277791,-0.796551643,-1.428626826,-1.383547277
0.776464948,0.189377655,0.101760522,0.196255997,0.25983297,-1.153851974,-0.023350868,0.204700312,0.173072772,-0.289026952,-0.129859489,-0.175843004
0.36826744,0.751774208,0.196242266,0.434624496,0.139937064,-0.473061989,0.057881616,0.063105841,0.075462566,-0.078258523,-0.073741737,-0.061505867
0.856557704,0.294910902,0.698172476,0.507520965,0.111547828,-0.35633509,0.011114956,0.089834455,0.022776368,-0.072519365,-0.001279187,-0.068976304
0.947775347,0.566932529,0.609957128,0.535082796,0.122827825,-0.372194821,0.006829715,0.078478943,0.033255894,-0.077846273,-0.028083124,-0.069221929
0.666677156,0.183492669,0.032471628,0.080936209,0.437633483,-2.385714478,-0.05669236,0.316307177,0.362647632,-0.653861099,-0.432588709,-0.360695045
0.471892192,0.697564445,0.166455362,0.520241699,0.105117989,-0.338343713,0.037417734,0.057518274,0.058259831,-0.054917822,-0.036764269,-0.035947509
0.169356752,0.42760003,0.640176774,0.781591962,0.041840184,-0.120241068,0.022555491,0.033168701,0.013007531,-0.008120058,0.00601498,-0.016235565
0.502078265,0.496452556,0.369348314,0.895008796,0.03375238,-0.092758381,0.013160829,0.026435207,0.015117125,-0.009607207,0.005965405,-0.007968211
0.463892152,0.897173381,0.284232638,0.329323719,0.228560948,-0.789607184,0.072086972,0.051579761,0.107527562,-0.174529444,-0.185625214,-0.146678469
0.342534685,0.993144968,0.550716708,0.984977729,0.037687632,-0.095601978,0.017431883,0.022533803,0.014255353,-0.007195555,-0.001785245,-0.009866337
0.706520109,0.006717118,0.68526217,0.969553948,0.021591393,-0.057499478,0.006754504,0.021531932,0.006942683,-0.006739135,0.012620467,-0.006619758
0.854311373,0.107263726,0.279688464,0.543214633,0.07305735,-0.236779839,0.008699267,0.068117701,0.035161479,-0.045015578,0.0174606,-0.029128712
0.578719191,0.983056222,0.448918429,0.555346839,0.127239427,-0.373211673,0.037651994,0.049581265,0.047905821,-0.067854892,-0.05967638,-0.060960055
0.603070202,0.810624739,0.757687683,0.120319516,0.545744486,-1.994976926,0.012710265,-0.051569404,-0.10122059,-0.736560213,-0.731983249,-0.718082597
0.252282865,0.780406779,0.089478062,0.346959547,0.171086685,-0.61033339,0.085216212,0.059255649,0.108545878,-0.100853225,-0.122775274,-0.074431503
0.763167165,0.048854727,0.888423964,0.729611823,0.046647213,-0.133215626,0.011105594,0.045484029,0.008123352,-0.02116505,0.020540821,-0.022394393
0.121367124,0.555799406,0.002722894,0.043308836,0.526614055,-2.891428986,0.378782377,0.027665944,0.485290793,-0.625262395,-0.896259121,-0.45050241
0.051429112,0.22426904,0.449057288,0.610394142,0.051945601,-0.166210542,0.031967079,0.04517557,0.019963839,-0.010514706,0.009100776,-0.022514553
0.849516946,0.385755488,0.538724891,0.99376542,0.028400758,-0.074137608,0.007355545,0.023996492,0.010903935,-0.009512227,0.008857971,-0.007230888
0.876154345,0.331166346,0.162196762,0.469873136,0.106159521,-0.354353065,0.006910344,0.08174101,0.059553922,-0.07328506,-0.010795707,-0.040326012
0.297509139,0.284729823,0.283738323,0.751284596,0.037664772,-0.112128519,0.017938823,0.032309509,0.018197828,-0.010264396,0.008907445,-0.010015899
0.018712253,0.682892214,0.366953803,0.271212027,0.220019862,-0.855202954,0.158826819,0.075884805,0.085325006,-0.096412508,-0.184892951,-0.177976061
0.17740662,0.277138047,0.66060206,0.49314658,0.091900107,-0.312917236,0.050438629,0.074764177,0.02056181,-0.034148917,-0.001008294,-0.057231233
0.54711147,0.349106519,0.128803498,0.225479968,0.257002708,-1.132374607,0.048205172,0.162654547,0.161255446,-0.261214394,-0.167313581,-0.16907692
0.010863241,0.578254425,0.050450839,0.202284116,0.235219332,-1.008924311,0.179793575,0.084852986,0.169499417,-0.122606894,-0.229425072,-0.137893381
0.706776089,0.849460388,0.347434932,0.696876891,0.078911972,-0.222699428,0.020422307,0.043515293,0.035395911,-0.036384341,-0.01767349,-0.025792793
0.669626587,0.660645189,0.171283472,0.089757255,0.552131781,-2.525953029,-0.064896916,0.015332052,0.34002611,-0.804910712,-0.812112865,-0.603136154
0.143018734,0.124560963,0.975484326,0.944153176,0.021953088,-0.058375905,0.011959906,0.020808136,0.00430796,-0.002676224,0.010530991,-0.008346535
0.455126922,0.900734552,0.305869192,0.662531133,0.080914572,-0.233570577,0.031362935,0.04098029,0.037980312,-0.032178793,-0.023580211,-0.026507745
0.933060584,0.095738613,0.669815261,0.500473012,0.095886732,-0.307732605,0.004306589,0.089770547,0.021123805,-0.063690774,0.02016029,-0.059230632
0.341046177,0.99366851,0.861487748,0.44571737,0.177992742,-0.524838551,0.077349717,0.050882373,0.010774678,-0.094306684,-0.113374668,-0.127268056
0.624770483,0.747356944,0.199819321,0.958597754,0.03297563,-0.08643057,0.011375157,0.022780109,0.017172385,-0.009718168,0.002094773,-0.004699414
0.044789459,0.790738338,0.58809072,0.10292703,0.475624015,-1.988702239,0.376088553,-0.057197378,0.009997116,-0.376444478,-0.66694928,-0.673617567
0.977685104,0.973922381,0.366623233,0.574729303,0.124484659,-0.344887388,0.007323927,0.050982726,0.053440773,-0.075039115,-0.054590022,-0.052528098
0.132314959,0.644130696,0.056953418,0.49157848,0.089663868,-0.296864605,0.051946553,0.050723115,0.056502515,-0.030359626,-0.031760524,-0.024849158
0.576762961,0.21574409,0.032151424,0.952462429,0.019619445,-0.053222171,0.007143981,0.017859398,0.011586937,-0.005556708,0.008099216,-0.001314964
0.875204534,0.312258085,0.016774443,0.329949957,0.156003663,-0.574559383,-0.006086628,0.114005725,0.109370091,-0.134260045,-0.051183418,-0.057821009
0.32415579,0.823168013,0.508792762,0.222337159,0.342934667,-1.315219107,0.144547377,0.04410909,0.07752066,-0.302092042,-0.357345519,-0.345495329
0.045825852,0.71266922,0.661578262,0.266967915,0.247448742,-0.922730198,0.172588753,0.076887768,0.025222587,-0.11895103,-0.215436261,-0.23675603
0.27904089,0.546945862,0.429025768,0.242356891,0.280054947,-1.177389697,0.131768175,0.12450224,0.089112118,-0.222404364,-0.229053218,-0.256047342
0.785848259,0.414091901,0.850577081,0.199329752,0.358087146,-1.369255901,-0.034474865,0.193084732,-0.060267236,-0.395149031,-0.294354579,-0.388324928
