x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.590966347,0.028875261,0.918454163,0.311294498,0.169873017,-0.632761585,0.033340615,0.16550354,-0.016215672,-0.144778848,0.009923914,-0.14977463
0.453833123,0.512774425,0.885889829,0.564139001,0.102566504,-0.315400202,0.038443644,0.070266442,0.011228055,-0.04858146,-0.014852523,-0.061761636
0.079226772,0.097962333,0.06674279,0.590663353,0.041558333,-0.135426713,0.025000268,0.039136941,0.025308842,-0.009678159,0.012139048,-0.00930461
0.442683664,0.360409272,0.535287424,0.32504809,0.197767715,-0.775382877,0.065750448,0.135792622,0.049826533,-0.150097954,-0.078718686,-0.159404013
0.549195431,0.834875067,0.288372845,0.80248242,0.054019431,-0.14841069,0.019331503,0.032594144,0.026024958,-0.018744855,-0.005996272,-0.013124814
0.873871594,0.504098526,0.135257822,0.893680023,0.034007288,-0.091346255,0.007728243,0.026512611,0.018709571,-0.01311122,0.005802161,-0.004574159
0.007323424,0.67759397,0.948077418,0.531994233,0.100291083,-0.301592324,0.065707227,0.05684023,0.005381183,-0.021076118,-0.031910859,-0.063836476
0.599879646,0.943975247,0.235990625,0.557364621,0.114006446,-0.338497752,0.032300298,0.047357958,0.057992342,-0.061452745,-0.050931701,-0.041104752
0.525139614,0.440560564,0.266486162,0.250713509,0.261479924,-1.105125805,0.058898995,0.146446336,0.126435305,-0.247840176,-0.179087526,-0.19997113
0.714165552,0.870252154,0.379273206,0.873783639,0.050120547,-0.13226293,0.014709424,0.030714003,0.022177493,-0.017982975,-0.003478288,-0.012486745
0.973457198,0.265028821,0.668337319,0.329675804,0.196598058,-0.691197857,-0.024381855,0.151655565,0.027359114,-0.166552062,-0.052588904,-0.165768502
0.570203546,0.962085956,0.317292873,0.246234369,0.320731588,-1.114338643,0.056887077,0.009818665,0.138619064,-0.313075563,-0.32286485,-0.26325476
0.510547268,0.329723628,0.163837157,0.908319315,0.025727926,-0.071026828,0.0099704,0.02206611,0.013820863,-0.007241863,0.00781976,-0.003681243
0.366159465,0.25630435,0.875418301,0.07176624,0.549067779,-2.759651482,0.175425575,0.330386571,-0.259078706,-0.797161149,-0.654408001,-0.730962321
0.653097103,0.896631091,0.70511101,0.954115411,0.045860391,-0.116640168,0.015253942,0.028785677,0.014263431,-0.013969468,-0.000974977,-0.014606996
0.905950905,0.606269264,0.314518023,0.579102317,0.098539233,-0.297343377,0.010289567,0.062511527,0.045435616,-0.058350808,-0.01976906,-0.038475272
0.584688523,0.618144225,0.598919072,0.392525765,0.190255855,-0.65858836,0.045576256,0.09873769,0.043469379,-0.13713519,-0.096810879,-0.138121274
0.704919774,0.911510985,0.793098194,0.758600235,0.08005703,-0.212925889,0.021974025,0.043881715,0.018474471,-0.033655773,-0.015634281,-0.035423909
0.58556211,0.113785151,0.785913557,0.509958696,0.091272934,-0.300755485,0.025485544,0.084439994,0.01345419,-0.052935085,0.01806734,-0.058068017
0.3935597,0.705629331,0.612962452,0.58674366,0.099999066,-0.306044446,0.041421138,0.057834257,0.028310748,-0.042597633,-0.026306575,-0.05173984
0.250069913,0.335880131,0.136842585,0.851131774,0.026653593,-0.075598481,0.013325951,0.022588498,0.01469632,-0.005440265,0.007040576,-0.003999526
