data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-3.644632,0.8436648,0.3374659,-0.3374659,-0.5061989,-1.5523432,-1.5523432,-1.3836102,0.7117703,-0.00010711178,-0.00016066768,0.00016066768,-1.970801,1.970801,2.8549616
1.0,-3.4977336,0.8079508,0.3262878,-0.27967528,-0.45058793,-1.4219815,-1.4569408,-1.3024621,0.65278447,-0.00011794119,-0.00019001636,0.00016287118,-1.8292148,1.5799998,2.4594035
2.0,-3.3495777,0.77371424,0.3152169,-0.22924866,-0.40118515,-1.3043824,-1.3648787,-1.2247822,0.5986337,-0.00012576107,-0.00022008187,0.00016005954,-1.6988851,1.2534776,2.1209433
3.0,-3.2024596,0.7409557,0.30432108,-0.18523893,-0.3572465,-1.1981461,-1.2768254,-1.1508913,0.54901534,-0.00012972114,-0.00025017647,0.00015228134,-1.5789567,0.9807739,1.8307743
4.0,-3.0580184,0.70965606,0.29365078,-0.14682539,-0.31812167,-1.1020343,-1.1931673,-1.0809387,0.50361174,-0.00012905666,-0.00027962273,0.00013981137,-1.4686031,0.75315666,1.5815301
5.0,-2.9174001,0.6797825,0.28324273,-0.11329709,-0.28324273,-1.0149531,-1.114088,-1.0149531,0.4621043,-0.00012311102,-0.00030777758,0.00012311102,-1.3670396,0.5633383,1.3670396
6.0,-2.781379,0.65129274,0.27312276,-0.084037766,-0.2521133,-0.93593675,-1.0396285,-0.95287985,0.4241822,-0.00011135023,-0.00033405068,0.00010278483,-1.2735307,0.4052352,1.1821254
7.0,-2.650453,0.62413794,0.2633082,-0.058512934,-0.22429958,-0.8641324,-0.96972996,-0.8946079,0.38954818,-9.336993e-05,-0.00035791803,7.953734e-05,-1.187394,0.2737651,1.0224359
8.0,-2.5249119,0.5982657,0.2538097,-0.036258526,-0.1994219,-0.79878634,-0.9042657,-0.8399892,0.35792184,-6.889639e-05,-0.00037893016,5.4132877e-05,-1.1079993,0.1646783,0.8843052
9.0,-2.4048924,0.5736213,0.2446326,-0.016871214,-0.17714775,-0.7392321,-0.8430645,-0.78885335,0.3290414,-3.7782513e-05,-0.00039671638,2.7359749e-05,-1.0347685,0.07441723,0.76463926
10.0,-2.2904177,0.5501493,0.23577829,-6.7470985e-17,-0.15718552,-0.6848798,-0.78592765,-0.74101746,0.3026643,2.940221e-19,-0.0004109857,4.7043535e-19,-0.96717215,-0.0,0.6608208
11.0,-2.181429,0.52779466,0.22724491,0.014660962,-0.13927914,-0.6352066,-0.73264086,-0.6962939,0.2785672,4.4371034e-05,-0.0004215248,-2.719515e-05,-0.9047276,-0.06107603,0.5706307
12.0,-2.0778086,0.50650287,0.21902826,0.027378533,-0.1232034,-0.5897484,-0.6829834,-0.65449494,0.25654516,9.51542e-05,-0.00042819392,-5.352424e-05,-0.84699464,-0.11091406,0.49218363
13.0,-1.979398,0.4862211,0.21112232,0.038385876,-0.108759984,-0.5480931,-0.6367341,-0.61543673,0.23641096,0.00015208988,-0.00043092133,-7.834933e-05,-0.79357284,-0.15128395,0.42387396
14.0,-1.8860108,0.46689817,0.20351972,0.04788699,-0.09577398,-0.5098737,-0.5936759,-0.57894146,0.21799389,0.00021484843,-0.00042969687,-0.00010110515,-0.744098,-0.18367699,0.36433154
15.0,-1.797443,0.4484848,0.19621211,0.0560606,-0.0840909,-0.4747632,-0.55359846,-0.54483896,0.20113863,0.0002830433,-0.00042456496,-0.00012130428,-0.6982392,-0.20935132,0.31238458
16.0,-1.7134815,0.43093395,0.1891905,0.0630635,-0.07357409,-0.44246995,-0.5163004,-0.51296777,0.18570407,0.0003562434,-0.0004156173,-0.0001385391,-0.6556954,-0.22936958,0.26702887
17.0,-1.6339085,0.41420057,0.18244548,0.06903343,-0.06410247,-0.41273302,-0.48159033,-0.48317528,0.1715621,0.00043398462,-0.00040298572,-0.00015248108,-0.61619306,-0.24463035,0.22740205
