data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-3.2752655,0.60653067,-0.48522452,0.3639184,0.60653067,-0.8248817,-0.99471027,-0.60653067,0.36787945,-0.00023101561,-0.000385026,0.00028876952,2.6008034,-2.0524998,-3.0326533
1.0,-3.0626295,0.57485425,-0.4311407,0.35375646,0.5637994,-0.7821334,-0.88779265,-0.5525319,0.3304574,-0.0002770519,-0.00044155147,0.00036229866,2.2448335,-1.9069357,-2.7103653
2.0,-2.8652475,0.5452272,-0.3836784,0.3432912,0.5250336,-0.7396841,-0.7935337,-0.5040921,0.2972727,-0.00032528423,-0.00049749354,0.0004451258,1.9415495,-1.7710812,-2.429991
3.0,-2.6822283,0.5175014,-0.34192058,0.33267948,0.48977813,-0.69819784,-0.7102443,-0.46056965,0.26780772,-0.00037478172,-0.000551762,0.0005368495,1.6824542,-1.6447266,-2.185104
4.0,-2.5126295,0.4915379,-0.30509248,0.32204208,0.45763874,-0.6581114,-0.63648605,-0.4214017,0.24160951,-0.00042460303,-0.0006033833,0.00063690456,1.460526,-1.527498,-1.9704041
5.0,-2.3555033,0.46720725,-0.27253756,0.3114715,0.42827332,-0.6196985,-0.5710311,-0.38609487,0.21828261,-0.0004738322,-0.0006515192,0.00074459345,1.2699493,-1.4189258,-1.781498
6.0,-2.2099237,0.44438937,-0.24369739,0.30103797,0.40138394,-0.58311653,-0.5128281,-0.3542167,0.1974819,-0.000521607,-0.000695476,0.0008591174,1.1058942,-1.3184898,-1.6147245
7.0,-2.075006,0.42297325,-0.21809557,0.2907941,0.37671053,-0.54844016,-0.46097475,-0.32538787,0.17890637,-0.0005671408,-0.0007347052,0.0009796069,0.9643381,-1.2256517,-1.467019
8.0,-1.9499142,0.4028565,-0.19532436,0.28077877,0.3540254,-0.5156859,-0.41469434,-0.2992754,0.16229336,-0.00060973695,-0.0007687988,0.0011051482,0.8419215,-1.1398741,-1.3358039
9.0,-1.8338679,0.3839448,-0.17503366,0.27101988,0.33312857,-0.48482996,-0.3733166,-0.2755867,0.14741361,-0.00064879766,-0.0007974805,0.0012348085,0.7358303,-1.0606349,-1.2189019
10.0,-1.7261423,0.3661514,-0.15692203,0.26153672,0.31384405,-0.45582113,-0.33626148,-0.25406423,0.13406685,-0.0006838279,-0.0008205935,0.0013676558,0.6437006,-0.98743457,-1.1144667
11.0,-1.6260685,0.34939647,-0.14072913,0.2523419,0.29601645,-0.4285903,-0.30302593,-0.23448116,0.12207789,-0.000714435,-0.00083808723,0.0015027771,0.5635409,-0.9198018,-1.0209255
12.0,-1.5330307,0.3336066,-0.12622952,0.24344264,0.27950823,-0.4030572,-0.27317238,-0.21663715,0.11129335,-0.0007403252,-0.000850003,0.0016392914,0.493669,-0.8572951,-0.9369344
13.0,-1.4464641,0.3187143,-0.11322744,0.2348421,0.26419738,-0.37913537,-0.24631935,-0.20035519,0.101578794,-0.00076129794,-0.00085646013,0.0017763618,0.43265978,-0.799504,-0.8613401
14.0,-1.3658509,0.30465746,-0.10155249,0.22654016,0.24997535,-0.35673568,-0.22213355,-0.18547851,0.092816174,-0.0007772385,-0.0008576425,0.0019132025,0.3793029,-0.74604845,-0.79314995
15.0,-1.290718,0.291379,-0.09105594,0.21853425,0.23674545,-0.33576876,-0.20032306,-0.17186809,0.08490172,-0.0007881096,-0.00085378543,0.002049085,0.3325676,-0.6965779,-0.7315064
16.0,-1.2206322,0.2788263,-0.08160769,0.21081987,0.22442116,-0.31614688,-0.18063167,-0.15940039,0.0777441,-0.0007939424,-0.0008451645,0.0021833417,0.29157394,-0.65077,-0.6756666
