data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-3.7959173,0.71892375,-0.575139,0.575139,-0.14378475,-0.9777363,-0.9777363,-1.4090905,0.5168513,-0.00036509856,9.127464e-05,-9.127464e-05,3.082745,-3.082745,0.8569571
1.0,-3.5586567,0.6821642,-0.51162314,0.5509788,-0.11806688,-0.9281368,-0.8668329,-1.2914195,0.46534798,-0.00043151077,9.2466595e-05,-9.95794e-05,2.663884,-2.8192832,0.6776183
2.0,-3.3371117,0.64769816,-0.4557876,0.52775407,-0.09595529,-0.8787016,-0.76941925,-1.1852255,0.41951296,-0.00050007127,9.0922054e-05,-0.000105278166,2.306448,-2.581579,0.5309789
3.0,-3.1306252,0.61537176,-0.4065849,0.5054839,-0.07692147,-0.8302417,-0.68365914,-1.089263,0.37868237,-0.00056945544,8.665626e-05,-0.00010773481,2.0006413,-2.3668768,0.41087738
4.0,-2.938408,0.5850381,-0.3631271,0.48416948,-0.060521185,-0.7832972,-0.60799444,-1.0024256,0.3422696,-0.00063836324,7.9795405e-05,-0.000106393876,1.7383469,-2.1727178,0.31239295
5.0,-2.7596045,0.55655885,-0.32465935,0.46379906,-0.046379905,-0.7382135,-0.5410989,-0.9237331,0.30975777,-0.00070556346,7.055635e-05,-0.00010079479,1.5128224,-1.9969126,0.23157744
6.0,-2.5933394,0.5298042,-0.2905378,0.44435194,-0.034180917,-0.6951958,-0.4818407,-0.85231775,0.28069252,-0.00076992647,5.9225113e-05,-9.057958e-05,1.3184551,-1.8375177,0.16524927
7.0,-2.4387462,0.50465316,-0.2602118,0.42580113,-0.023655618,-0.6543489,-0.4292509,-0.78741175,0.25467482,-0.00083044736,4.6135963e-05,-7.549521e-05,1.1505605,-1.692809,0.11083373
8.0,-2.2949867,0.4809932,-0.23320882,0.40811545,-0.014575551,-0.6157066,-0.38249782,-0.7283359,0.23135446,-0.0008862603,3.1652155e-05,-5.539127e-05,1.0052178,-1.561257,0.06623912
9.0,-2.1612616,0.45872,-0.20912234,0.39126116,-0.0067458823,-0.579253,-0.34086546,-0.674489,0.21042404,-0.0009366448,1.6149048e-05,-3.0214349e-05,0.879137,-1.4415064,0.029759787
10.0,-2.0368173,0.43773705,-0.18760158,0.37520316,-5.8089665e-17,-0.54493797,-0.3037359,-0.6253386,0.19161372,-0.0009810263,0.0,0.0,0.76954937,-1.3323541,2.3710067e-16
11.0,-1.9209486,0.41795507,-0.16834301,0.35990575,0.0058049317,-0.51268834,-0.2705743,-0.5804125,0.17468645,-0.0010189718,-1.643503e-05,3.513696e-05,0.67411894,-1.2327328,-0.024186095
12.0,-1.813,0.39929166,-0.15108334,0.34533334,0.010791667,-0.48241666,-0.24091667,-0.5392917,0.15943384,-0.0010501815,-3.281817e-05,7.501296e-05,0.59086937,-1.1416937,-0.043742117
13.0,-1.712364,0.3816707,-0.13559353,0.33145088,0.0150659485,-0.4540269,-0.21435937,-0.5016036,0.14567253,-0.0010744787,-4.8839946e-05,0.00011938653,0.5181241,-1.0583934,-0.059447374
