data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-3.7558272,0.7633795,-0.4580277,0.4580277,-0.4580277,-1.2519424,-1.2519424,-1.2519424,0.58274823,-0.00021806719,0.00021806719,-0.00021806719,2.5832763,-2.5832763,2.5832763
1.0,-3.549887,0.72685856,-0.40536344,0.44729757,-0.40536344,-1.1717368,-1.1225449,-1.1717368,0.52832335,-0.0002604874,0.0002360667,-0.0002604874,2.2125587,-2.4111722,2.2125587
2.0,-3.3534808,0.6923499,-0.35899624,0.43592402,-0.35899624,-1.0959833,-1.0076588,-1.0959833,0.47934842,-0.0003043586,0.00025064824,-0.0003043586,1.8979034,-2.2489853,1.8979034
3.0,-3.1670792,0.6597555,-0.31809643,0.42412856,-0.31809643,-1.024767,-0.90548086,-1.024767,0.4352774,-0.00034866788,0.0002615009,-0.00034866788,1.6301428,-2.0968397,1.6301428
4.0,-2.9908075,0.62897456,-0.2819541,0.41208678,-0.2819541,-0.95804566,-0.814451,-0.95804566,0.395609,-0.0003924009,0.00026848484,-0.0003924009,1.4017243,-1.9545947,1.4017243
5.0,-2.8245573,0.59990597,-0.24996082,0.39993733,-0.24996082,-0.89569294,-0.73321843,-0.89569294,0.35988718,-0.0004345804,0.00027161275,-0.0004345804,1.2064081,-1.8219367,1.2064081
6.0,-2.668062,0.5724509,-0.22159389,0.3877893,-0.22159389,-0.8375296,-0.66061187,-0.8375296,0.3277,-0.00047429695,0.00027102683,-0.00047429695,1.039024,-1.6984445,1.039024
7.0,-2.5209534,0.54651344,-0.19640326,0.37572798,-0.19640326,-0.78334486,-0.59561425,-0.78334486,0.29867694,-0.00051073165,0.00026697337,-0.00051073165,0.89527476,-1.5836347,0.89527476
8.0,-2.3828022,0.5220019,-0.17400065,0.36381954,-0.17400065,-0.7329118,-0.5373408,-0.7329118,0.27248603,-0.0005431715,0.00025977768,-0.0005431715,0.7715786,-1.4769937,0.7715786
9.0,-2.2531455,0.4988291,-0.15405016,0.35211465,-0.15405016,-0.68599784,-0.48502067,-0.68599784,0.24883045,-0.0005710181,0.0002498204,-0.0005710181,0.664941,-1.3779988,0.664941
10.0,-2.131506,0.47691232,-0.13626066,0.34065166,-0.13626066,-0.64237165,-0.43798068,-0.64237165,0.22744535,-0.0005937907,0.00023751629,-0.0005937907,0.57285094,-1.2861338,0.57285094
11.0,-2.0174077,0.45617384,-0.1203792,0.32945886,-0.1203792,-0.601808,-0.39563224,-0.601808,0.20809457,-0.0006111252,0.00022329575,-0.0006111252,0.49319714,-1.2008979,0.49319714
12.0,-1.9103832,0.43654057,-0.10618555,0.31855664,-0.10618555,-0.5640908,-0.35745946,-0.5640908,0.19056767,-0.000622769,0.00020758968,-0.000622769,0.42419922,-1.1218127,0.42419922
13.0,-1.8099816,0.4179441,-0.09348749,0.3079588,-0.09348749,-0.52901477,-0.32300943,-0.52901477,0.17467727,-0.00062857405,0.00019081713,-0.00062857405,0.36435196,-1.0484248,0.36435196
14.0,-1.7157713,0.40032032,-0.082116984,0.2976741,-0.082116984,-0.49638665,-0.29188377,-0.49638665,0.16025636,-0.0006284876,0.0001733759,-0.0006284876,0.31237927,-0.98030865,0.31237927
15.0,-1.6273429,0.38360938,-0.071926765,0.28770706,-0.071926765,-0.46602547,-0.26373145,-0.46602547,0.14715616,-0.0006225423,0.00015563557,-0.0006225423,0.26719669,-0.9170662,0.26719669
16.0,-1.5443105,0.36775547,-0.06278752,0.278059,-0.06278752,-0.43776247,-0.23824254,-0.43776247,0.13524409,-0.0006108453,0.00013793282,-0.0006108453,0.22788022,-0.8583273,0.22788022
17.0,-1.466311,0.3527064,-0.054585516,0.2687287,-0.054585516,-0.41144082,-0.21514292,-0.41144082,0.124401815,-0.00059356814,0.000120568526,-0.00059356814,0.19364089,-0.8037486,0.19364089
18.0,-1.3930049,0.3384136,-0.047220502,0.25971276,-0.047220502,-0.3869153,-0.19418974,-0.3869153,0.11452377,-0.0005709359,0.000103806524,-0.0005709359,0.16380331,-0.75301254,0.16380331
19.0,-1.3240752,0.32483172,-0.040603966,0.25100634,-0.040603966,-0.36405146,-0.17516753,-0.36405146,0.10551565,-0.00054321764,8.787344e-05,-0.00054321764,0.13778818,-0.7058257,0.13778818
20.0,-1.2592266,0.3119185,-0.034657612,0.24260329,-0.034657612,-0.34272528,-0.15788467,-0.34272528,0.09729315,-0.00051071716,7.295959e-05,-0.00051071716,0.1150975,-0.66191757,0.1150975
21.0,-1.198184,0.29963452,-0.029312072,0.23449658,-0.029312072,-0.3228222,-0.14217062,-0.3228222,0.089780845,-0.00047376455,5.922057e-05,-0.00047376455,0.09530233,-0.62103915,0.09530233
22.0,-1.1406922,0.28794298,-0.024505787,0.22667852,-0.024505787,-0.30423674,-0.12787327,-0.30423674,0.08291116,-0.00043270862,4.677931e-05,-0.00043270862,0.07803246,-0.5829609,0.07803246
23.0,-1.0865139,0.27680963,-0.020184034,0.21914095,-0.020184034,-0.2868716,-0.11485677,-0.2868716,0.07662357,-0.00038791026,3.5728575e-05,-0.00038791026,0.06296779,-0.54747194,0.06296779
24.0,-1.0354286,0.2662024,-0.016298106,0.21187538,-0.016298106,-0.27063727,-0.1029996,-0.27063727,0.07086372,-0.00033973638,2.6133568e-05,-0.00033973638,0.04983107,-0.514378,0.04983107
25.0,-0.98723245,0.25609142,-0.012804572,0.20487314,-0.012804572,-0.2554512,-0.09219291,-0.2554512,0.06558282,-0.00028855505,1.803469e-05,-0.00028855505,0.038381703,-0.4835006,0.038381703
26.0,-0.94173557,0.24644876,-0.0096646575,0.19812547,-0.0096646575,-0.24123742,-0.082339086,-0.24123742,0.06073699,-0.00023473096,1.1450291e-05,-0.00023473096,0.028410599,-0.4546755,0.028410599
27.0,-0.8987622,0.2372483,-0.006843701,0.19162363,-0.006843701,-0.22792596,-0.07335044,-0.22792596,0.056286756,-0.0001786219,6.379354e-06,-0.0001786219,0.01973575,-0.42775157,0.01973575
28.0,-0.8581492,0.22846565,-0.0043106726,0.18535893,-0.0043106726,-0.2154523,-0.06514809,-0.2154523,0.05219655,-0.00012057574,2.804087e-06,-0.00012057574,0.012198483,-0.4025898,0.012198483
28.0,-0.8197451,0.22007796,-0.002037759,0.17932278,-0.002037759,-0.20375702,-0.05766103,-0.20375702,0.048434306,-6.0928003e-05,6.923637e-07,-6.0928003e-05,0.0056602666,-0.3790623,0.0056602666
