data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-4.7049665,0.68386143,0.41031685,0.27354455,0.68386143,-1.1215327,-1.258305,-0.68386143,0.46766642,0.0001302347,0.0003255867,0.00021705781,-2.314187,-1.5975002,-3.419307
1.0,-4.278668,0.638988,0.3809352,0.2703411,0.6266998,-1.0017272,-1.1144481,-0.61417526,0.40830573,0.00016829296,0.00039013367,0.00027686905,-2.0623188,-1.5112708,-3.012748
2.0,-3.902153,0.5981223,0.35444283,0.26583213,0.5759696,-0.8975936,-0.9894862,-0.55299646,0.35775024,0.00021211636,0.00045958546,0.0003446891,-1.8446585,-1.4243351,-2.6657357
3.0,-3.5683227,0.5608028,0.3304731,0.26037276,0.5307598,-0.8066906,-0.8805463,-0.49910736,0.31449983,0.0002616135,0.00053328904,0.0004201671,-1.6556323,-1.3387277,-2.3679402
4.0,-3.2712636,0.5266334,0.30871612,0.2542368,0.4903138,-0.72701705,-0.7852535,-0.45148948,0.27734268,0.00031658134,0.0006105497,0.00050280563,-1.4907206,-1.2557665,-2.1110895
5.0,-3.0060234,0.4952716,0.28890842,0.2476358,0.45399895,-0.65692276,-0.70163476,-0.40928695,0.24529395,0.00037672085,0.0006906549,0.0005919899,-1.346233,-1.17627,-1.8885095
6.0,-2.768433,0.4664208,0.27082497,0.24073331,0.4212833,-0.5950384,-0.62804216,-0.37177765,0.21754836,0.00044165377,0.0007728941,0.000687017,-1.2191352,-1.1007098,-1.6947775
7.0,-2.5549655,0.43982258,0.25427243,0.23365575,0.391717,-0.5402215,-0.5630932,-0.33834985,0.1934439,0.0005109396,0.0008565752,0.00078712316,-1.1069169,-1.0293175,-1.5254585
8.0,-2.3626225,0.4152511,0.23908398,0.2265006,0.36491764,-0.49151394,-0.50562257,-0.30848315,0.17243348,0.000584092,0.0009410371,0.0008915088,-1.0074898,-0.96215963,-1.3769023
9.0,-2.188845,0.3925083,0.22511505,0.21934286,0.34055865,-0.44810796,-0.4546441,-0.28173333,0.15406275,0.00066059397,0.001025659,0.0009993601,-0.9191062,-0.8991919,-1.2460883
10.0,-2.0314384,0.37141967,0.21223982,0.21223982,0.31835973,-0.40931964,-0.40931964,-0.25771978,0.13795258,0.00073991145,0.0011098672,0.0011098672,-0.84029645,-0.84029645,-1.1305019
11.0,-1.888514,0.35183126,0.20034836,0.20523492,0.29807928,-0.37456727,-0.36893418,-0.23611516,0.12378524,0.0008215055,0.0011931389,0.0012222398,-0.7698185,-0.7853086,-1.0280399
12.0,-1.7584406,0.3336066,0.18934429,0.19836067,0.27950823,-0.34335405,-0.33287552,-0.21663715,0.11129335,0.0009048419,0.0012750045,0.001335719,-0.7066179,-0.7340359,-0.9369344
13.0,-1.6398028,0.31662437,0.17914273,0.19164106,0.26246494,-0.31525394,-0.30061772,-0.19904138,0.10025099,0.0009894001,0.0013550479,0.0014495861,-0.6497956,-0.6862714,-0.855692
14.0,-1.5313698,0.30077654,0.16966881,0.18509325,0.246791,-0.28990033,-0.2717074,-0.18311577,0.09046652,0.0010746795,0.0014329061,0.0015631703,-0.59858173,-0.6418026,-0.78304625
15.0,-1.4320668,0.28596655,0.16085619,0.17872909,0.23234782,-0.2669766,-0.2457525,-0.16867559,0.081776865,0.0011602053,0.0015082669,0.0016758521,-0.55231476,-0.60041803,-0.71791846
16.0,-1.340953,0.2721079,0.1526459,0.17255624,0.21901369,-0.2462083,-0.222413,-0.15555961,0.074042715,0.0012455315,0.0015808669,0.0017870669,-0.5104239,-0.5619113,-0.6593862
17.0,-1.2572017,0.25912297,0.14498547,0.16657904,0.2066814,-0.2273569,-0.20139319,-0.14362669,0.06714471,0.0013302442,0.0016504882,0.0018963056,-0.4724151,-0.5260838,-0.606658
18.0,-1.1800852,0.24694178,0.13782796,0.1607993,0.19525628,-0.21021436,-0.18243508,-0.13275291,0.060980238,0.0014139634,0.0017169556,0.0020031147,-0.4378591,-0.49274677,-0.5590518
19.0,-1.1089605,0.23550129,0.1311314,0.15521675,0.18465441,-0.19459875,-0.16531314,-0.12282925,0.055460855,0.0014963431,0.0017801323,0.0021070954,-0.40638202,-0.46172175,-0.51597846
20.0,-1.0432584,0.2247445,0.12485805,0.14982966,0.17480128,-0.18035051,-0.14982966,-0.113759555,0.050510086,0.0015770722,0.0018399176,0.002207901,-0.37765706,-0.43284124,-0.47692692
21.0,-0.98247355,0.21461974,0.118973985,0.14463504,0.16563044,-0.16732936,-0.13581088,-0.105458826,0.04606163,0.0016558738,0.0018962426,0.0023052362,-0.35139775,-0.40594873,-0.4414529
22.0,-0.9261564,0.20508014,0.11344858,0.13962902,0.15708266,-0.15541157,-0.12310378,-0.09785172,0.04205786,0.001732504,0.001949067,0.0023988518,-0.32735232,-0.3808984,-0.4091687
23.0,-0.8739058,0.19608305,0.10825419,0.1348071,0.14910482,-0.14448786,-0.1115733,-0.09087139,0.038448565,0.001806751,0.001998376,0.002488544,-0.3052989,-0.35755476,-0.37973517
24.0,-0.8253633,0.18758966,0.103365734,0.13016425,0.14164934,-0.1344614,-0.10109997,-0.08445832,0.035189882,0.0018784335,0.0020441776,0.0025741495,-0.28504145,-0.33579233,-0.35285494
25.0,-0.78020775,0.1795645,0.09876048,0.12569515,0.13467339,-0.12524624,-0.091577895,-0.07855947,0.032243412,0.0019473988,0.0020864988,0.0026555439,-0.2664064,-0.31549484,-0.32826635
26.0,-0.7381511,0.17197518,0.09441774,0.12139425,0.12813838,-0.116765924,-0.08291306,-0.07312747,0.029575463,0.0020135213,0.0021253836,0.002732636,-0.24923962,-0.2965548,-0.30573884
27.0,-0.6989339,0.16479202,0.0903187,0.11725586,0.12200948,-0.10895227,-0.07502181,-0.06811993,0.02715641,0.0020767003,0.002160891,0.002805367,-0.23340404,-0.27887294,-0.28506857
28.0,-0.66232276,0.15798782,0.086446166,0.11327428,0.11625519,-0.10174438,-0.06782959,-0.06349884,0.024960151,0.0021368586,0.0021930917,0.0028737064,-0.21877743,-0.2623576,-0.266075
28.0,-0.62810665,0.15153758,0.08278442,0.10944381,0.11084694,-0.09508776,-0.061269827,-0.059230097,0.02296364,0.0021939399,0.0022220672,0.0029376482,-0.20525058,-0.24692416,-0.24859783
30.0,-0.596095,0.14541835,0.0793191,0.10575879,0.10575879,-0.08893353,-0.055283006,-0.055283006,0.021146493,0.0022479072,0.0022479072,0.0029972096,-0.19272573,-0.23249453,-0.23249453
31.0,-0.566115,0.13960892,0.076037,0.10221367,0.10096716,-0.08323781,-0.049815807,-0.051629923,0.01949065,0.0022987416,0.002270708,0.0030524272,-0.18111524,-0.2189967,-0.217638
32.0,-0.53801,0.1340898,0.07292603,0.098803006,0.09645055,-0.0779611,-0.04482041,-0.04824591,0.017980073,0.0023464393,0.0022905718,0.0031033552,-0.1703403,-0.20636417,-0.20391469
33.0,-0.51163745,0.12884293,0.06997505,0.095521495,0.09218935,-0.073067814,-0.040253844,-0.045108434,0.016600505,0.0023910115,0.002307604,0.0031500626,-0.16033001,-0.1945356,-0.19122301
34.0,-0.48686776,0.1238517,0.0671738,0.09236398,0.08816562,-0.06852582,-0.036077455,-0.042197105,0.015339243,0.0024324812,0.0023219138,0.0031926315,-0.15102045,-0.18345433,-0.17947187
35.0,-0.4635827,0.11910064,0.06451285,0.08932548,0.084362954,-0.06430607,-0.032256424,-0.03949344,0.014184962,0.002470883,0.0023336117,0.0032311548,-0.14235386,-0.17306812,-0.16857944
36.0,-0.44167438,0.11457546,0.061983444,0.086401165,0.080766305,-0.060382284,-0.028759332,-0.036980685,0.013127536,0.0025062615,0.0023428097,0.0032657348,-0.13427803,-0.16332862,-0.15847214
37.0,-0.4210442,0.11026289,0.05957753,0.08358639,0.07736187,-0.056730602,-0.025557814,-0.0346436,0.012157905,0.0025386694,0.0023496195,0.003296481,-0.12674561,-0.15419123,-0.1490836
38.0,-0.40160182,0.10615061,0.057287633,0.08087666,0.074136935,-0.053329386,-0.022626208,-0.03246834,0.011267954,0.0025681667,0.0023541527,0.0033235098,-0.119713694,-0.14561467,-0.14035398
39.0,-0.38326454,0.102227174,0.055106834,0.07826768,0.07107983,-0.05015895,-0.019941287,-0.030442284,0.010450395,0.00259482,0.0023565204,0.003346942,-0.113143235,-0.1375608,-0.13222913
40.0,-0.3659564,0.09848189,0.053028714,0.075755306,0.06817977,-0.04720138,-0.017481994,-0.028553922,0.009698683,0.0026187012,0.002356831,0.0033669015,-0.106998764,-0.1299943,-0.12466006
41.0,-0.3496076,0.09490485,0.051047303,0.073335566,0.06542683,-0.044440348,-0.015229221,-0.026792753,0.00900693,0.002639886,0.0023551923,0.0033835159,-0.10124792,-0.12288252,-0.11760232
42.0,-0.33415392,0.09148676,0.049157064,0.07100465,0.06281181,-0.04186095,-0.0131656155,-0.025149178,0.008369828,0.002658454,0.0023517094,0.0033969136,-0.095861204,-0.11619518,-0.111015566
43.0,-0.31953624,0.08821898,0.047352836,0.06875891,0.060326215,-0.03944957,-0.011275393,-0.023614412,0.0077825887,0.002674488,0.0023464847,0.0034072243,-0.09081166,-0.10990422,-0.104863115
44.0,-0.30570006,0.08509343,0.04562981,0.06659486,0.05796219,-0.037193745,-0.009544191,-0.022180414,0.007240892,0.0026880722,0.0023396183,0.003414578,-0.086074635,-0.103983656,-0.09911157
45.0,-0.29259503,0.082102545,0.043983508,0.064509146,0.055712443,-0.035082083,-0.00795892,-0.020839805,0.006740828,0.0026992927,0.0023312073,0.003419104,-0.081627555,-0.098409355,-0.093730494
46.0,-0.28017464,0.07923925,0.04240974,0.062498562,0.053570196,-0.033104118,-0.006507647,-0.019585816,0.0062788585,0.0027082365,0.0023213455,0.0034209304,-0.077449724,-0.09315894,-0.0886921
47.0,-0.26839584,0.076496914,0.0409046,0.060560055,0.05152917,-0.031250257,-0.0051794783,-0.018412234,0.0058517777,0.0027149913,0.0023101242,0.003420184,-0.07352215,-0.08821161,-0.08397098
48.0,-0.25721884,0.073869325,0.039464433,0.058690697,0.04958352,-0.02951169,-0.0039644637,-0.01731334,0.005456677,0.0027196447,0.0022976308,0.0034169895,-0.069827385,-0.08354806,-0.07954391
49.0,-0.24660668,0.07135066,0.038085822,0.056887683,0.0477278,-0.027880307,-0.002853505,-0.016283872,0.005090916,0.0027222838,0.0022839499,0.0034114695,-0.06634938,-0.07915034,-0.07538962
50.0,-0.2365251,0.068935424,0.03676556,0.05514834,0.04595695,-0.02634865,-0.001838278,-0.015318983,0.0047520925,0.0027229956,0.002269163,0.0034037444,-0.06307336,-0.07500174,-0.07148859
51.0,-0.2269423,0.06661849,0.035500642,0.053470105,0.044266235,-0.024909848,-0.0009111601,-0.014414207,0.004438023,0.002721866,0.002253348,0.0033939315,-0.059985697,-0.07108673,-0.0678229
52.0,-0.2178287,0.06439501,0.034288254,0.05185053,0.042651244,-0.023557562,-6.516615e-05,-0.013565419,0.004146718,0.002718979,0.0022365795,0.0033821447,-0.05707384,-0.06739082,-0.064376116
53.0,-0.20915681,0.062260445,0.033125747,0.05028728,0.041107856,-0.022285944,0.00070610957,-0.012768814,0.003876363,0.0027144186,0.0022189296,0.0033684953,-0.054326173,-0.06390055,-0.06113307
54.0,-0.20090102,0.060210492,0.03201064,0.04877812,0.039632224,-0.021089591,0.0014085454,-0.012020874,0.0036253033,0.0027082663,0.0022004663,0.0033530914,-0.051731985,-0.060603354,-0.058079842
