data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-3.0533643,0.7710516,-0.46263096,0.15421031,-0.61684126,-1.2645246,-1.5112611,-1.0486301,0.59452057,-7.34196e-05,0.0002936784,-9.78928e-05,2.6092386,-0.9190935,3.3062692
1.0,-2.9611473,0.74097186,-0.41323432,0.1709935,-0.5557289,-1.1944883,-1.3854859,-1.0081493,0.5490393,-9.957947e-05,0.00032363326,-0.00013391722,2.2555196,-0.9773949,2.8935308
2.0,-2.862053,0.7118515,-0.36910817,0.18455409,-0.5009325,-1.1268541,-1.2703961,-0.9657354,0.5067325,-0.00012885415,0.000349747,-0.0001748735,1.951362,-1.0128956,2.534897
3.0,-2.7589595,0.6837441,-0.32966232,0.19535545,-0.4517595,-1.0620272,-1.1651558,-0.9224876,0.46750596,-0.00016059793,0.00037138272,-0.00022007865,1.6894143,-1.0305997,2.2229273
4.0,-2.6540422,0.6566783,-0.29437304,0.20379671,-0.40759343,-1.0002437,-1.0689567,-0.87921494,0.43122637,-0.00019406111,0.00038812222,-0.00026869998,1.4634645,-1.0344925,1.9512142
5.0,-2.548933,0.6306638,-0.26277658,0.21022128,-0.36788723,-0.9416161,-0.9810326,-0.8365055,0.39773685,-0.0002284309,0.0003997541,-0.00031980328,1.268262,-1.0277485,1.7142522
6.0,-2.4448445,0.6056962,-0.23446304,0.21492445,-0.33215597,-0.88616943,-0.9006658,-0.7947793,0.36686787,-0.00026286958,0.00040625298,-0.0003723986,1.0993657,-1.0128958,1.5073177
7.0,-2.3426657,0.5817605,-0.20907019,0.2181602,-0.29997027,-0.83386624,-0.82719076,-0.75432867,0.3384453,-0.00029654783,0.00040775325,-0.00042548164,0.953015,-0.9919472,1.3263578
8.0,-2.2430348,0.5588344,-0.18627812,0.22014688,-0.27095,-0.784626,-0.7599942,-0.715349,0.31229585,-0.00032867258,0.0004045201,-0.0004780692,0.8260212,-0.9665034,1.1678965
9.0,-2.1463983,0.53688985,-0.16580422,0.22107229,-0.2447586,-0.73833966,-0.6985141,-0.6779628,0.2882507,-0.00035850902,0.0003969207,-0.0005292276,0.7156761,-0.93783605,1.0289495
10.0,-2.0530531,0.5158954,-0.1473987,0.22109804,-0.22109804,-0.69487953,-0.6422371,-0.6422371,0.2661481,-0.00038539653,0.00038539653,-0.0005780948,0.6196761,-0.90695316,0.90695316
11.0,-1.9631835,0.49581718,-0.13084064,0.22036318,-0.19970414,-0.6541076,-0.5906958,-0.6081986,0.24583468,-0.00040875966,0.00037043844,-0.0006238963,0.53605795,-0.87465143,0.7997026
12.0,-1.8768864,0.47661984,-0.11593455,0.2189875,-0.18034264,-0.61588055,-0.54346496,-0.5758431,0.22716646,-0.0004281142,0.00035256465,-0.0006659554,0.4631454,-0.8415582,0.70529914
13.0,-1.7941931,0.45826745,-0.10250719,0.21707405,-0.16280554,-0.5800542,-0.5001589,-0.5451447,0.21000904,-0.00044306938,0.00033230204,-0.00070369843,0.39950472,-0.8081649,0.6221054
14.0,-1.7150857,0.44072402,-0.09040493,0.2147117,-0.146908,-0.5464862,-0.46042764,-0.5160614,0.19423765,-0.00045332682,0.000310171,-0.0007366561,0.34390724,-0.7748537,0.54870766
15.0,-1.6395094,0.42395395,-0.07949136,0.21197698,-0.13248561,-0.5150378,-0.42395395,-0.48854068,0.17973696,-0.0004586771,0.00028667317,-0.0007644618,0.295298,-0.7419194,0.483883
16.0,-1.5673827,0.40792233,-0.06964528,0.20893583,-0.119391896,-0.4855756,-0.39045033,-0.46252227,0.16640063,-0.00045899418,0.00026228238,-0.00078684714,0.25276968,-0.7095863,0.4265721
17.0,-1.498605,0.39259514,-0.06075877,0.20564507,-0.107496284,-0.45797202,-0.3596563,-0.43794164,0.15413094,-0.00045422895,0.00023743787,-0.00080363586,0.21554036,-0.6780225,0.37585613
18.0,-1.4330629,0.37793943,-0.052735735,0.20215365,-0.09668218,-0.432106,-0.33133575,-0.4147318,0.14283821,-0.0004444016,0.0002125399,-0.0008147363,0.1829351,-0.64735085,0.33093646
19.0,-1.3706343,0.3639235,-0.045490436,0.19850372,-0.086845376,-0.4078631,-0.30527467,-0.39282495,0.13244031,-0.00042959364,0.00018794721,-0.0008201333,0.15437025,-0.61765826,0.29111817
