data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-2.2747211,0.74826354,-0.44895813,-0.5986109,0.29930544,-1.2271522,-1.0176384,-1.376805,0.5598984,0.00028499888,-0.00014249944,-0.00018999926,2.5321238,3.2085543,-1.7479436
1.0,-2.2820935,0.7254621,-0.40458462,-0.5301454,0.29297507,-1.1694857,-1.0077055,-1.2768025,0.52629524,0.00030873448,-0.00017061643,-0.00022356636,2.208308,2.775421,-1.642459
2.0,-2.2709491,0.7026833,-0.3643543,-0.46845555,0.2862784,-1.1123409,-0.9889617,-1.1846335,0.49376383,0.00032707184,-0.00019987723,-0.00025698502,1.9262298,2.3943284,-1.5429188
3.0,-2.2454278,0.68009096,-0.327901,-0.41291237,0.27932307,-1.056353,-0.9637513,-1.0997262,0.4625237,0.00033944726,-0.0002296261,-0.00028915878,1.680388,2.0598218,-1.4492556
4.0,-2.20887,0.65781146,-0.29488102,-0.36293048,0.27219784,-1.0019697,-0.9339202,-1.0215241,0.43271592,0.00034559285,-0.00025919464,-0.0003190088,1.4659898,1.7667507,-1.3613129
5.0,-2.163967,0.6359413,-0.26497555,-0.31797066,0.26497555,-0.94949573,-0.9009169,-0.94949573,0.40442136,0.00034551366,-0.00028792807,-0.00034551366,1.278875,1.5103606,-1.278875
6.0,-2.1128845,0.6145527,-0.23789136,-0.2775399,0.25771564,-0.899127,-0.8658734,-0.8831397,0.377675,0.00033945325,-0.0003152066,-0.000367741,1.1154406,1.2863296,-1.2016897
7.0,-2.057362,0.5936984,-0.21336035,-0.24118997,0.2504665,-0.85097736,-0.8296703,-0.82198817,0.35247776,0.00032785247,-0.00034046217,-0.00038487028,0.9725711,1.0907722,-1.129484
8.0,-1.9987929,0.5734156,-0.19113852,-0.20851475,0.24326721,-0.80509865,-0.79298794,-0.7656072,0.32880542,0.00031130618,-0.00036319054,-0.00039620788,0.8475739,0.9202221,-1.0619764
9.0,-1.9382908,0.55372894,-0.17100452,-0.1791476,0.2361491,-0.761497,-0.7563478,-0.71359664,0.30661574,0.0002905205,-0.00038295882,-0.00040119496,0.7381227,0.77160543,-0.99888414
10.0,-1.8767419,0.53465325,-0.15275806,-0.15275806,0.2291371,-0.72014517,-0.72014517,-0.6655887,0.28585407,0.00026627295,-0.00039940941,-0.00039940941,0.6422074,0.6422074,-0.9399297
11.0,-1.8148484,0.51619524,-0.13621819,-0.12904881,0.22225073,-0.68099135,-0.68467563,-0.6212465,0.26645753,0.0002393773,-0.0004122609,-0.00039056296,0.5580899,0.5296378,-0.8848443
12.0,-1.7531631,0.49835554,-0.12122162,-0.10775255,0.2155051,-0.6439671,-0.6501556,-0.58026206,0.24835825,0.00021065312,-0.00042130623,-0.00037449444,0.48426664,0.4317973,-0.8333703
