data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-2.88568,0.81058425,-0.3242337,-0.16211686,-0.6484674,-1.491475,-1.5887451,-1.1023946,0.6570468,5.1455936e-05,0.00020582374,0.00010291187,1.8935248,0.96621644,3.4757853
1.0,-2.8357766,0.7819641,-0.28571764,-0.12030217,-0.58647305,-1.3993803,-1.4852691,-1.0639223,0.61146784,4.590069e-05,0.00022376586,9.4217205e-05,1.610226,0.6912036,3.0536075
2.0,-2.7726202,0.75391275,-0.25130427,-0.083768085,-0.5305312,-1.3123667,-1.3868272,-1.022798,0.56838447,3.7598267e-05,0.00023812236,7.937412e-05,1.3682121,0.46434408,2.6846771
3.0,-2.699979,0.7265432,-0.22055776,-0.051895943,-0.48003748,-1.2304436,-1.2936918,-0.980231,0.52786505,2.686167e-05,0.00024847043,5.8463633e-05,1.1612338,0.2777492,2.3620722
4.0,-2.6208026,0.6999349,-0.19308549,-0.024135686,-0.43444234,-1.1535194,-1.205952,-0.93713045,0.48990887,1.4143198e-05,0.00025457755,3.1822194e-05,0.9840243,0.12481106,2.0797443
5.0,-2.5373926,0.6741412,-0.1685353,-1.313311e-16,-0.39324903,-1.0814348,-1.1235687,-0.89417344,0.45446637,0.0,0.00025638766,5.137458e-19,0.83214307,3.648086e-16,1.8324313
6.0,-2.4515393,0.64919513,-0.14659245,0.020941779,-0.35601026,-1.0139874,-1.0464134,-0.85185754,0.42145434,-1.4941179e-05,0.00025400004,-3.628572e-05,0.7018438,-0.1013094,1.6155678
7.0,-2.3646278,0.6251139,-0.12697627,0.03906962,-0.32232437,-0.9509485,-0.97429866,-0.810542,0.39076743,-3.0017458e-05,0.00024764403,-7.6198165e-05,0.58996224,-0.18298623,1.4251994
8.0,-2.277723,0.60190254,-0.109436825,0.054718412,-0.29183155,-0.89207596,-0.9069992,-0.7704795,0.3622867,-4.455978e-05,0.00023765216,-0.00011882608,0.49382237,-0.24826784,1.2579038
9.0,-2.1916368,0.5795567,-0.09375182,0.06818315,-0.2642097,-0.8371236,-0.8442677,-0.7318407,0.33588597,-5.791835e-05,0.0002244336,-0.00016322444,0.4111577,-0.29986426,1.1107205
10.0,-2.1069803,0.55806506,-0.079723574,0.079723574,-0.23917073,-0.78584665,-0.78584665,-0.69473404,0.31143656,-6.9483176e-05,0.00020844954,-0.00020844954,0.34004545,-0.34004545,0.9810881
11.0,-2.024206,0.5374108,-0.06717635,0.08956847,-0.21645714,-0.7380069,-0.73147583,-0.6592198,0.2888104,-7.869969e-05,0.00019019093,-0.0002535879,0.27885184,-0.37071395,0.8667889
12.0,-1.9436418,0.51757354,-0.055953894,0.097919315,-0.19583863,-0.69337463,-0.6808984,-0.6253226,0.26788235,-8.5079744e-05,0.00017015949,-0.0002977791,0.22618616,-0.39346543,0.76590216
13.0,-1.8655167,0.49852985,-0.045917224,0.104953654,-0.17710929,-0.65173113,-0.6338648,-0.59303993,0.24853201,-8.8208515e-05,0.00014885188,-0.00034023283,0.18086267,-0.40963906,0.6767623
14.0,-1.7899823,0.48025456,-0.036942657,0.110827975,-0.16008486,-0.6128692,-0.5901353,-0.5623494,0.23064443,-8.774783e-05,0.00012674686,-0.00038024058,0.14186855,-0.42035937,0.59792376
15.0,-1.7171297,0.46272126,-0.028920079,0.115680315,-0.14460039,-0.57659405,-0.5494815,-0.533214,0.21411096,-8.343659e-05,0.00010429574,-0.00041718295,0.10833733,-0.42657116,0.52813035
16.0,-1.6470023,0.44590288,-0.02175136,0.119632475,-0.13050815,-0.54272294,-0.51168746,-0.5055865,0.19882937,-7.508883e-05,8.191508e-05,-0.00045053297,0.07952639,-0.42906854,0.4662891
17.0,-1.5796074,0.4297721,-0.0153490035,0.12279203,-0.11767569,-0.5110853,-0.47655,-0.47941273,0.18470405,-6.258995e-05,5.9982034e-05,-0.00047985627,0.05479829,-0.42851913,0.411448
18.0,-1.5149236,0.4143017,-0.009634923,0.125254,-0.10598415,-0.48152208,-0.44387865,-0.45463392,0.1716459,-4.5891724e-05,3.883146e-05,-0.00050480897,0.033604987,-0.42548424,0.3627765
19.0,-1.4529085,0.39946473,-0.004539372,0.12710242,-0.09532681,-0.4538856,-0.4134955,-0.43118876,0.15957206,-2.500635e-05,1.8754761e-05,-0.00052513334,0.015474546,-0.42043588,0.31954914
20.0,-1.3935037,0.3852348,-0.0,0.1284116,-0.08560774,-0.4280387,-0.3852348,-0.40901473,0.14840586,0.0,5.0020387e-19,-0.0005406523,2.3467575e-16,-0.41377074,0.28113157
21.0,-1.336639,0.37158617,0.00403898,0.12924737,-0.07674062,-0.40385413,-0.35894242,-0.38804942,0.13807629,2.9013843e-05,-1.722697e-05,-0.00055126305,-0.013170111,-0.40582207,0.24696809
22.0,-1.2822362,0.35849383,0.007627528,0.12966798,-0.06864776,-0.3812141,-0.33447522,-0.3682311,0.12851782,6.188109e-05,-3.2760574e-05,-0.0005569298,-0.024339722,-0.39686972,0.21657139
23.0,-1.2302111,0.34593353,0.010810423,0.12972508,-0.061259065,-0.3600096,-0.31170052,-0.34949946,0.11967001,9.841354e-05,-4.6473062e-05,-0.0005576767,-0.033772014,-0.38714826,0.18951358
24.0,-1.1804765,0.33388197,0.013627836,0.12946443,-0.054511342,-0.34013966,-0.2904954,-0.33179608,0.111477174,0.00013839513,-5.827163e-05,-0.0005535805,-0.04169516,-0.3768542,0.16541843
25.0,-1.132943,0.32231668,0.016115833,0.12892666,-0.0483475,-0.32151088,-0.270746,-0.31506455,0.103888035,0.0001815877,-6.809539e-05,-0.0005447631,-0.04830721,-0.36615175,0.14395468
26.0,-1.0875213,0.31121606,0.018306827,0.1281478,-0.04271593,-0.30403692,-0.25234705,-0.2992508,0.09685544,0.00022773641,-7.591214e-05,-0.00053138495,-0.053780265,-0.3551778,0.12483037
27.0,-1.044122,0.3005595,0.020229967,0.12715979,-0.037569936,-0.2876379,-0.23520115,-0.28430328,0.09033602,0.00027657457,-8.171522e-05,-0.0005136385,-0.058264025,-0.34404624,0.10778779
28.0,-1.0026572,0.2903272,0.021911485,0.12599105,-0.032867227,-0.27223986,-0.21921821,-0.27017274,0.08428987,0.00032782805,-8.552036e-05,-0.0004917421,-0.061888833,-0.33285138,0.092599235
28.0,-0.96304107,0.2805002,0.023375016,0.12466676,-0.028569464,-0.25777447,-0.20431496,-0.25681254,0.07868036,0.0003812191,-8.7362714e-05,-0.00046593446,-0.06476828,-0.321671,0.07906325
30.0,-0.9251899,0.27106047,0.024641862,0.123209305,-0.024641862,-0.24417844,-0.19041438,-0.24417844,0.07347378,0.00043646977,-8.7293956e-05,-0.00043646977,-0.067001425,-0.31056893,0.067001425
31.0,-0.88902265,0.2619908,0.025731238,0.12163858,-0.021052832,-0.23139317,-0.17744529,-0.2322286,0.068639174,0.0004933048,-8.537968e-05,-0.00040361303,-0.06867475,-0.29959705,0.056255568
32.0,-0.85446095,0.25327468,0.026660493,0.119972214,-0.017773662,-0.2193644,-0.16534182,-0.2209235,0.06414806,0.00055145414,-8.169691e-05,-0.0003676361,-0.06986378,-0.28879738,0.046685264
33.0,-0.8214296,0.24489647,0.027445294,0.11822588,-0.014778235,-0.20804188,-0.15404308,-0.21022585,0.05997428,0.000610655,-7.6331875e-05,-0.00032881423,-0.07063451,-0.27820334,0.03816576
34.0,-0.7898563,0.23684122,0.028099807,0.11641348,-0.012042774,-0.19737902,-0.14349271,-0.20010056,0.056093764,0.0006706535,-6.9377944e-05,-0.0002874229,-0.07104464,-0.2678413,0.030586086
35.0,-0.7596717,0.22909471,0.02863684,0.11454736,-0.009545613,-0.18733266,-0.13363858,-0.19051452,0.052484386,0.0007312061,-6.0933842e-05,-0.00024373537,-0.07114465,-0.25773156,0.02384746
36.0,-0.7308096,0.22164337,0.029067984,0.112638436,-0.007266996,-0.1778627,-0.124432415,-0.18143664,0.049125787,0.0007920807,-5.1101983e-05,-0.00019802018,-0.07097869,-0.24788933,0.01786185
37.0,-0.70320684,0.21447432,0.029403737,0.11069643,-0.005188895,-0.168932,-0.11582953,-0.17283763,0.045999236,0.0008530575,-3.998707e-05,-0.00015053956,-0.070585415,-0.2383256,0.0125507405
38.0,-0.67680305,0.20757525,0.029653607,0.10872989,-0.003294845,-0.16050602,-0.10778851,-0.16468996,0.043087482,0.0009139292,-2.7694825e-05,-0.00010154769,-0.06999865,-0.22904778,0.007844039
39.0,-0.65154076,0.20093445,0.029826209,0.10674643,-0.0015698004,-0.15255271,-0.100271,-0.15696777,0.040374655,0.00097450183,-1.433091e-05,-5.128957e-05,-0.06924799,-0.22006027,0.003679124
40.0,-0.62736535,0.19454081,0.029929355,0.10475274,-0.0,-0.14504226,-0.09324145,-0.14964677,0.037846126,0.0010345947,0.0,1.6640302e-18,-0.06835935,-0.211365,-0.0
41.0,-0.60422474,0.1883837,0.029970134,0.10275475,0.0014271493,-0.13794695,-0.08666688,-0.14270411,0.03548842,0.0010940405,1.5195005e-05,5.2097163e-05,-0.0673554,-0.20296185,-0.0032434391
42.0,-0.58206946,0.18245304,0.029954975,0.10075764,0.0027231795,-0.131241,-0.080516696,-0.13611834,0.03328911,0.0011526848,3.1153642e-05,0.00010478953,-0.06625595,-0.19484898,-0.006096064
43.0,-0.5608526,0.17673919,0.029889714,0.098766014,0.0038986586,-0.1249004,-0.07476251,-0.12986928,0.03123674,0.0012103867,4.7778423e-05,0.00015787652,-0.065078326,-0.1870232,-0.008598085
44.0,-0.54052943,0.171233,0.029779652,0.09678387,0.0049632755,-0.11890282,-0.06937796,-0.123938024,0.029320741,0.0012670178,6.497527e-05,0.00021116964,-0.06383767,-0.1794801,-0.010785559
45.0,-0.52105767,0.16592576,0.0296296,0.09481472,0.00592592,-0.1132274,-0.06433856,-0.118306756,0.027531357,0.001322462,8.2653874e-05,0.0002644924,-0.06254718,-0.1722145,-0.012690841
