data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-5.2324224,0.8025188,0.48151127,0.48151127,-0.32100752,-1.3161309,-1.3161309,-1.4766346,0.6440364,0.00022924773,-0.00015283182,-0.00015283182,-2.7157235,-2.7157235,1.8746839
1.0,-4.788025,0.7524596,0.44858167,0.46305206,-0.27493715,-1.179614,-1.1620826,-1.3465799,0.5661954,0.00028825953,-0.0001711541,-0.0001766752,-2.4285455,-2.496097,1.5494702
2.0,-4.391763,0.706598,0.41872472,0.44489503,-0.23553266,-1.0603817,-1.0283957,-1.2300038,0.4992807,0.00035499665,-0.0001879394,-0.00019968562,-2.1792066,-2.2952678,1.2823445
3.0,-4.0373397,0.664485,0.3915715,0.4271689,-0.20171864,-0.9558328,-0.9119717,-1.1253443,0.44154027,0.00042920446,-0.00020267989,-0.00022110534,-1.9617282,-2.1118708,1.0620462
4.0,-3.7194083,0.6257296,0.366807,0.40996078,-0.17261507,-0.86381936,-0.8102492,-1.0312263,0.39153758,0.0005104923,-0.00021494414,-0.00024023169,-1.7712287,-1.9445108,0.8797006
5.0,-3.4334164,0.5899904,0.34416106,0.39332694,-0.1474976,-0.7825567,-0.7210994,-0.94644296,0.34808868,0.00059835636,-0.00022438365,-0.00025643845,-1.603695,-1.7918227,0.7282694
6.0,-3.1754704,0.55696785,0.3234007,0.37730083,-0.12576693,-0.71055424,-0.6427444,-0.8699363,0.3102132,0.00069220306,-0.00023073435,-0.00026919006,-1.4558079,-1.652507,0.602137
7.0,-2.9422295,0.5263987,0.30432424,0.3618991,-0.106924735,-0.6465605,-0.5736923,-0.80077887,0.2770956,0.00079137186,-0.00023381441,-0.00027804959,-1.3248061,-1.5253482,0.496798
8.0,-2.7308173,0.49805057,0.2867564,0.34712616,-0.09055465,-0.5895199,-0.51268566,-0.7381576,0.24805437,0.000895157,-0.00023351923,-0.00028268117,-1.2083793,-1.4092238,0.4086185
9.0,-2.5387483,0.47171792,0.2705441,0.33297735,-0.07630731,-0.5385378,-0.45865998,-0.681359,0.22251779,0.0010028265,-0.0002298144,-0.0002828485,-1.1045852,-1.3031051,0.3346531
10.0,-2.3638682,0.44721833,0.25555333,0.31944168,-0.063888334,-0.49285287,-0.41071072,-0.62975645,0.20000423,0.0011136391,-0.00022272782,-0.00027840977,-1.0117826,-1.2060553,0.2725033
11.0,-2.204304,0.4243895,0.24166626,0.30650353,-0.05304869,-0.45181438,-0.36806622,-0.5827988,0.18010646,0.0012268592,-0.00021234102,-0.00026931055,-0.9285784,-1.1172243,0.22020732
12.0,-2.0584214,0.40308666,0.22877893,0.29414433,-0.043576937,-0.4148642,-0.33006585,-0.5400007,0.16247886,0.0013417685,-0.00019878052,-0.00025557497,-0.8537849,-1.0358435,0.17615396
13.0,-1.924791,0.38318026,0.21679936,0.28234336,-0.03529292,-0.38152176,-0.2961421,-0.5009339,0.14682712,0.0014576758,-0.00018220948,-0.00023729606,-0.78638566,-0.96121883,0.13901475
14.0,-1.8021585,0.3645542,0.20564596,0.27107877,-0.028042631,-0.35137177,-0.2658058,-0.46522006,0.13289978,0.0015739246,-0.00016281978,-0.00021462608,-0.7255071,-0.8927242,0.10769034
15.0,-1.6894209,0.34710413,0.19524607,0.2603281,-0.021694008,-0.32405424,-0.2386341,-0.4325243,0.12048128,0.0016898987,-0.0001408249,-0.00018776652,-0.67039573,-0.82979584,0.08126779
16.0,-1.585605,0.33073607,0.18553486,0.25006872,-0.016133467,-0.29925612,-0.21426031,-0.40254965,0.10938635,0.001805026,-0.00011645329,-0.00015695878,-0.6203995,-0.77192545,0.05898649
17.0,-1.4898502,0.31536517,0.17645432,0.24027823,-0.011263042,-0.27670434,-0.1923656,-0.37503248,0.09945519,0.0019187812,-8.994287e-05,-0.0001224754,-0.574952,-0.7186553,0.040210783
