data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-4.208346,0.63762814,0.5101025,0.63762814,-0.25505126,-0.86717427,-0.63762814,-1.1732358,0.40656966,0.00040476673,-0.00016190669,-0.00020238337,-2.7341495,-3.1881409,1.4894993
1.0,-3.8455076,0.5973947,0.47102275,0.5973947,-0.21827884,-0.77745265,-0.55144125,-1.0690802,0.35688046,0.0004918554,-0.00017971637,-0.00022793296,-2.4246175,-2.8491132,1.2301595
2.0,-3.5226867,0.5605847,0.43601033,0.5605847,-0.18686157,-0.6990007,-0.47753513,-0.97583264,0.31425524,0.0005870935,-0.00019569784,-0.0002516115,-2.1585202,-2.5537748,1.0173575
3.0,-3.234534,0.5268255,0.40452674,0.5268255,-0.15992917,-0.6301411,-0.41393432,-0.8922099,0.27754512,0.0006897408,-0.0002093856,-0.00027268822,-1.9285966,-2.295454,0.84202504
4.0,-2.9765303,0.4957936,0.3761193,0.4957936,-0.13677065,-0.5694847,-0.35902297,-0.81708676,0.24581131,0.00079895364,-0.00022040101,-0.0002905286,-1.728986,-2.0686562,0.6970262
5.0,-2.7448425,0.46720725,0.35040542,0.46720725,-0.11680181,-0.5158747,-0.3114715,-0.7494783,0.21828261,0.0009138192,-0.0002284548,-0.0003046064,-1.5549241,-1.868829,0.576709
6.0,-2.5362058,0.44081998,0.32705998,0.44081998,-0.099539995,-0.46834257,-0.27018,-0.68852323,0.19432226,0.0010333855,-0.00023334511,-0.00031450862,-1.4025122,-1.6921799,0.47656974
7.0,-2.347828,0.41641563,0.30580524,0.41641563,-0.08458443,-0.42607373,-0.2342338,-0.6334682,0.173402,0.0011566881,-0.00023495227,-0.000319935,-1.2685393,-1.5355327,0.39299956
8.0,-2.1773126,0.39380392,0.28640285,0.39380392,-0.07160071,-0.38837963,-0.20286869,-0.5836543,0.15508153,0.0012827723,-0.00023323132,-0.00032069307,-1.1503453,-1.3962139,0.32309082
9.0,-2.0225954,0.37281677,0.26864737,0.37281677,-0.060308594,-0.3546758,-0.17544319,-0.5385041,0.13899234,0.0014107107,-0.00022820322,-0.0003166902,-1.0457145,-1.2719631,0.26448917
10.0,-1.8818916,0.35330534,0.25236094,0.35330534,-0.05047219,-0.32446408,-0.15141657,-0.4975116,0.12482466,0.0015396185,-0.00021994549,-0.00030792368,-0.95279133,-1.1608604,0.21527934
11.0,-1.753653,0.3351374,0.237389,0.3351374,-0.041892175,-0.29731807,-0.13033122,-0.4602321,0.11231708,0.0016686623,-0.00020858279,-0.00029446982,-0.8700142,-1.0612684,0.17389616
12.0,-1.6365322,0.31819522,0.22359665,0.31819522,-0.034399483,-0.27287158,-0.11179832,-0.4262747,0.101248205,0.0017970693,-0.00019427776,-0.00027647222,-0.7960629,-0.9717854,0.13905533
13.0,-1.5293531,0.30237365,0.21086583,0.30237365,-0.027850203,-0.2508089,-0.09548641,-0.3952949,0.091429815,0.0019241313,-0.00017722262,-0.00025413054,-0.72981626,-0.8912065,0.10969875
14.0,-1.4310858,0.28757846,0.19909279,0.28757846,-0.022121422,-0.23085688,-0.08111188,-0.36698872,0.08270138,0.0020492072,-0.00015763132,-0.00022768968,-0.6703183,-0.8184926,0.08495149
