data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-5.212309,0.7710516,0.46263096,0.15421031,0.61684126,-1.2645246,-1.5112611,-1.0486301,0.59452057,7.34196e-05,0.0002936784,9.78928e-05,-2.6092386,-0.9190935,-3.3062692
1.0,-4.749729,0.7212888,0.42999908,0.16645126,0.5687085,-1.1307483,-1.348682,-0.93868905,0.52025753,0.00010361937,0.00035403285,0.00013704498,-2.3279426,-0.95143145,-2.9274604
2.0,-4.339918,0.67588127,0.40052223,0.17522848,0.5256854,-1.0142854,-1.2062024,-0.8427655,0.45681548,0.00013982068,0.000419462,0.00018351464,-2.0844738,-0.9617135,-2.6024673
3.0,-3.9755423,0.6343391,0.37380698,0.18123974,0.48708183,-0.91246927,-1.0809656,-0.7587392,0.4023861,0.0001821034,0.00048940285,0.00023728624,-1.87273,-0.9561321,-2.3221812
4.0,-3.6504607,0.59623957,0.34951973,0.18503986,0.45231965,-0.8231083,-0.97057307,-0.68486017,0.3555016,0.00023041577,0.0005632385,0.0002981851,-1.6877522,-0.9392808,-2.079272
5.0,-3.3595028,0.56121624,0.32737613,0.18707208,0.42091218,-0.74439096,-0.873003,-0.61967623,0.31496367,0.0002845871,0.000640321,0.0003658977,-1.5254818,-0.9145746,-1.8677977
6.0,-3.0982952,0.5289504,0.30713248,0.18769208,0.39244705,-0.6748108,-0.7865454,-0.5619754,0.27978852,0.00034434334,0.00071999064,0.00043999427,-1.3825756,-0.88455504,-1.6829078
7.0,-2.8631225,0.4991636,0.28857896,0.18718635,0.36657327,-0.6131084,-0.70974827,-0.5107409,0.24916431,0.00040932407,0.00080159295,0.0005199522,-1.2562625,-0.85111296,-1.5206168
8.0,-2.6508133,0.4716118,0.27153406,0.18578646,0.3429904,-0.5582255,-0.6413747,-0.46511576,0.22241768,0.00047909975,0.00088449183,0.00060517865,-1.1442331,-0.815652,-1.3776308
9.0,-2.4586506,0.44608024,0.25584012,0.18368009,0.32144016,-0.5092685,-0.5803673,-0.42437434,0.19898757,0.00055318855,0.00096807996,0.0006950318,-1.0445514,-0.7792104,-1.2512114
10.0,-2.284297,0.42237943,0.24135968,0.18101977,0.3016996,-0.46547937,-0.5258193,-0.3878995,0.17840439,0.000631072,0.0010517866,0.00078883994,-0.9555873,-0.74255043,-1.1390699
11.0,-2.125734,0.4003417,0.22797234,0.17792964,0.28357536,-0.42621252,-0.4769503,-0.35516423,0.16027346,0.0007122091,0.0011350833,0.0008859186,-0.8759609,-0.7062269,-1.039284
12.0,-1.9812127,0.379818,0.21557237,0.17451097,0.2668991,-0.39091566,-0.43308684,-0.32571682,0.1442617,0.0007960491,0.0012174868,0.0009855846,-0.8044991,-0.6706371,-0.9502311
13.0,-1.8492124,0.36067572,0.20406651,0.17084639,0.25152385,-0.35911462,-0.39364606,-0.29916853,0.13008697,0.0008820418,0.0012985616,0.0010871679,-0.74020046,-0.6360597,-0.87053555
14.0,-1.7284062,0.34279644,0.19337235,0.1670034,0.23732062,-0.33040076,-0.358122,-0.27518374,0.1175094,0.00096964714,0.0013779196,0.0011900215,-0.68220645,-0.60268354,-0.7990262
15.0,-1.6176335,0.32607415,0.18341671,0.16303708,0.22417599,-0.3044208,-0.32607415,-0.2534717,0.10632436,0.0010583419,0.0014552202,0.001293529,-0.6297785,-0.5706298,-0.73470175
16.0,-1.5158753,0.31041375,0.17413454,0.1589924,0.21198986,-0.2808681,-0.29711822,-0.23377977,0.09635669,0.0011476261,0.0015301681,0.00139711,-0.58227855,-0.53996885,-0.6767029
17.0,-1.4222348,0.2957296,0.16546775,0.15490599,0.20067365,-0.25947592,-0.27091783,-0.21588764,0.087456,0.0012370271,0.0016025124,0.0015002243,-0.5391538,-0.5107331,-0.62428963
18.0,-1.3359205,0.28194463,0.15736444,0.15080759,0.19014871,-0.24001127,-0.24717806,-0.19960277,0.07949278,0.0013261029,0.0016720428,0.0016023744,-0.49992362,-0.48292685,-0.5768221
19.0,-1.256232,0.26898912,0.14977804,0.14672133,0.18034498,-0.22227032,-0.22563963,-0.18475634,0.072355144,0.0014144443,0.0017385877,0.0017031064,-0.4641688,-0.45653376,-0.5337457
20.0,-1.182548,0.2568,0.14266665,0.14266665,0.17119999,-0.20607406,-0.20607406,-0.17119999,0.06594623,0.0015016762,0.0018020114,0.0018020114,-0.4315226,-0.4315226,-0.49457774
21.0,-1.1143162,0.24531999,0.1359926,0.13865912,0.16265783,-0.19126496,-0.18827961,-0.15880296,0.060181897,0.0015874577,0.0018622101,0.001898724,-0.40166342,-0.4078518,-0.45889723
22.0,-1.051044,0.23449713,0.12972182,0.13471112,0.15466832,-0.17770402,-0.17207779,-0.14744976,0.054988906,0.001671483,0.0019191102,0.001992922,-0.37430823,-0.3854726,-0.42633563
23.0,-0.99229145,0.22428405,0.123823486,0.13083236,0.14718641,-0.16526833,-0.15731034,-0.13703814,0.050303336,0.0017534796,0.0019726646,0.0020843248,-0.3492075,-0.36433178,-0.39656964
24.0,-0.93766487,0.21463755,0.118269674,0.12703039,0.14017147,-0.15384892,-0.14383666,-0.12747736,0.04606928,0.0018332078,0.00202285,0.0021726908,-0.32614058,-0.34437352,-0.36931473
25.0,-0.88681096,0.20551819,0.113035,0.12331091,0.13358682,-0.14334893,-0.13153164,-0.11868675,0.04223772,0.0019104596,0.0020696647,0.0022578158,-0.3049119,-0.3255408,-0.34432003
26.0,-0.8394122,0.19688982,0.108096376,0.119678125,0.1273993,-0.1336822,-0.12028371,-0.1105944,0.0387656,0.0019850566,0.0021131248,0.002339531,-0.28534782,-0.30777663,-0.32136363
27.0,-0.79518276,0.18871938,0.10343274,0.116135,0.12157883,-0.12477184,-0.10999325,-0.103136115,0.035615005,0.002056849,0.0021532637,0.0024176997,-0.26729366,-0.29102468,-0.3002489
28.0,-0.7538646,0.18097647,0.099024855,0.11268346,0.116098106,-0.116549104,-0.10057112,-0.09625448,0.03275248,0.002125713,0.0021901284,0.0024922153,-0.2506115,-0.27523005,-0.2808012
28.0,-0.7152245,0.17363316,0.09485515,0.10932458,0.1109323,-0.108952425,-0.091937445,-0.089898035,0.030148474,0.0021915496,0.0022237783,0.0025629988,-0.235178,-0.26033947,-0.26286504
30.0,-0.6790515,0.16666375,0.0909075,0.106058754,0.106058754,-0.101926595,-0.08402057,-0.08402057,0.027776808,0.0022542828,0.0022542828,0.0026299967,-0.22088268,-0.24630173,-0.24630173
31.0,-0.64515406,0.16004455,0.08716712,0.10288578,0.10145681,-0.09542197,-0.07675606,-0.07858054,0.025614258,0.002313857,0.00228172,0.002693178,-0.20762646,-0.23306778,-0.23098733
32.0,-0.6133584,0.15375367,0.083620414,0.09980501,0.09710758,-0.08939387,-0.07008593,-0.07354054,0.023640191,0.0023702357,0.0023061752,0.0027525318,-0.1953202,-0.22059089,-0.21681082
33.0,-0.58350617,0.1477709,0.08025489,0.09681542,0.09299376,-0.08380201,-0.063957915,-0.068866774,0.02183624,0.0024233998,0.0023277393,0.0028080666,-0.18388365,-0.2088266,-0.20367263
34.0,-0.5554534,0.14207755,0.07705901,0.09391566,0.08909948,-0.07860999,-0.058324855,-0.064528756,0.02018603,0.002473346,0.0023465077,0.0028598064,-0.17324442,-0.19773282,-0.19148326
35.0,-0.5290686,0.13665627,0.07402215,0.09110419,0.08541017,-0.0737849,-0.05314411,-0.06049887,0.018674938,0.0025200848,0.0023625796,0.0029077902,-0.16333707,-0.18726972,-0.18016209
36.0,-0.50423145,0.13149102,0.071134485,0.08837921,0.081912436,-0.06929693,-0.048377104,-0.056752104,0.017289888,0.002563639,0.0023760558,0.0029520693,-0.15410241,-0.17739971,-0.16963646
37.0,-0.48083222,0.12656686,0.06838693,0.08573884,0.07859393,-0.06511904,-0.043988895,-0.053265747,0.01601917,0.002604043,0.0023870396,0.0029927064,-0.14548679,-0.16808738,-0.15984072
38.0,-0.45877007,0.121869914,0.065771066,0.08318105,0.07544328,-0.061226662,-0.039947785,-0.05001917,0.014852277,0.0026413407,0.0023956345,0.0030297732,-0.13744147,-0.15929937,-0.15071549
39.0,-0.43795267,0.1173873,0.06327909,0.08070377,0.072449975,-0.057597447,-0.036224987,-0.046993613,0.013779779,0.0026755843,0.002401945,0.00306335,-0.12992221,-0.15100433,-0.14220695
40.0,-0.41829512,0.113106996,0.06090377,0.07830484,0.06960431,-0.054211047,-0.032794338,-0.044171963,0.012793194,0.0027068334,0.0024060742,0.003093524,-0.12288867,-0.14317277,-0.1342663
41.0,-0.39971942,0.1090178,0.05863836,0.0759821,0.06689729,-0.05104891,-0.029632019,-0.041538633,0.01188488,0.0027351542,0.002408125,0.0031203872,-0.11630413,-0.13577701,-0.12684914
42.0,-0.38215372,0.105109245,0.056476608,0.07373335,0.06432058,-0.048094094,-0.02671634,-0.03907938,0.011047954,0.0027606182,0.0024081988,0.0031440374,-0.11013505,-0.1287911,-0.11991511
43.0,-0.3655318,0.10137158,0.054412685,0.071556404,0.061866477,-0.045331117,-0.024027519,-0.036781177,0.0102761965,0.002783301,0.0024063957,0.0031645752,-0.1043508,-0.12219061,-0.11342745
44.0,-0.34979257,0.097795665,0.052441154,0.0694491,0.059527796,-0.042745806,-0.021547502,-0.034632113,0.009563993,0.002803282,0.0024028134,0.003182104,-0.09892334,-0.115952715,-0.107352585
45.0,-0.3348796,0.09437297,0.05055695,0.06740927,0.057297878,-0.040325187,-0.01925979,-0.03262127,0.008906258,0.002820644,0.0023975475,0.00319673,-0.093826994,-0.110055946,-0.10165988
46.0,-0.32074073,0.09109549,0.048755337,0.06543479,0.05517051,-0.038057353,-0.017149301,-0.030738631,0.00829839,0.0028354714,0.0023906918,0.00320856,-0.08903821,-0.10448019,-0.0963213
47.0,-0.3073276,0.08795574,0.047031887,0.06352359,0.053139925,-0.03593138,-0.015202226,-0.028975002,0.007736212,0.0028478506,0.0023823367,0.0032177013,-0.084535375,-0.0992066,-0.09131119
48.0,-0.2945955,0.08494668,0.04538247,0.06167361,0.051200736,-0.033937223,-0.013405921,-0.027321937,0.007215937,0.0028578688,0.0023725703,0.003224262,-0.08029861,-0.094217464,-0.08660601
49.0,-0.28250295,0.0820617,0.043803204,0.05988286,0.04934791,-0.032065652,-0.01174879,-0.025771659,0.006734122,0.002865614,0.0023614783,0.0032283498,-0.07630964,-0.089496225,-0.08218419
50.0,-0.27101135,0.079294614,0.04229046,0.058149382,0.047576766,-0.030308163,-0.010220194,-0.024317015,0.0062876353,0.0028711746,0.002349143,0.0032300714,-0.07255163,-0.08502732,-0.0780259
51.0,-0.260085,0.076639585,0.04084083,0.056471273,0.04588291,-0.028656917,-0.008810368,-0.022951407,0.005873626,0.0028746387,0.0023356439,0.0032295324,-0.06900906,-0.08079616,-0.07411289
52.0,-0.24969052,0.07409114,0.039451126,0.05484669,0.044262238,-0.027104685,-0.0075103347,-0.021668753,0.005489497,0.0028760938,0.0023210582,0.0032268371,-0.06566759,-0.076789066,-0.070428394
53.0,-0.23979697,0.071644105,0.03811834,0.053273823,0.04271091,-0.025644798,-0.0063118413,-0.020463437,0.005132878,0.0028756268,0.0023054595,0.0032220879,-0.062514015,-0.0729932,-0.06695693
54.0,-0.2303755,0.069293626,0.03683965,0.051750936,0.04122532,-0.02427109,-0.0052072923,-0.019330269,0.0048016068,0.0028733234,0.0022889187,0.0032153856,-0.059536085,-0.0693965,-0.06368424
55.0,-0.22139917,0.067035116,0.035612404,0.050276335,0.039802097,-0.022977857,-0.0041896948,-0.01826445,0.0044937064,0.002869268,0.0022715037,0.0032068288,-0.056722492,-0.06598769,-0.06059714
56.0,-0.2128429,0.06486424,0.034434106,0.04884838,0.03843807,-0.021759823,-0.0032526043,-0.01726154,0.00420737,0.0028635433,0.00225328,0.0031965135,-0.05406275,-0.062756136,-0.057683468
57.0,-0.20468324,0.06277693,0.033302397,0.047465485,0.03713026,-0.020612102,-0.0023900797,-0.016317427,0.003940943,0.0028562313,0.00223431,0.0031845337,-0.051547147,-0.059691872,-0.054931965
57.0,-0.19689827,0.06076933,0.032215066,0.046126116,0.035875868,-0.019530164,-0.0015966394,-0.0154283,0.0036929115,0.0028474112,0.0022146532,0.0031709808,-0.049166672,-0.056785543,-0.05233221
59.0,-0.18946752,0.058837786,0.031170018,0.04482879,0.034672268,-0.018509805,-0.0008672236,-0.014590621,0.0034618853,0.002837161,0.0021943667,0.003155943,-0.046912953,-0.05402835,-0.04987455
