data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-3.884333,0.68386143,-0.41031685,0.27354455,0.68386143,-1.1215327,-1.258305,-0.68386143,0.46766642,-0.0001302347,-0.0003255867,0.00021705781,2.314187,-1.5975002,-3.419307
1.0,-3.611159,0.6464037,-0.36049438,0.27347848,0.6339728,-1.042039,-1.1273816,-0.62130296,0.41783774,-0.00015926243,-0.00036919926,0.0002800822,1.967654,-1.5288094,-3.0477118
2.0,-3.3606584,0.61156267,-0.31710657,0.2718056,0.5889122,-0.9680978,-1.0117209,-0.56542283,0.3740089,-0.00018977247,-0.00041117368,0.00035243458,1.6764454,-1.4563413,-2.7256374
3.0,-3.1308753,0.5791215,-0.27921927,0.26887783,0.54809713,-0.8995219,-0.9093093,-0.5154107,0.3353817,-0.00022103926,-0.00045058003,0.00043389187,1.4309098,-1.3824573,-2.4452891
4.0,-2.919975,0.54888225,-0.24605066,0.26497763,0.5110283,-0.8360501,-0.81842846,-0.4705637,0.3012717,-0.00025231933,-0.00048661587,0.0005240479,1.2232316,-1.3088193,-2.2002776
5.0,-2.7262583,0.5206647,-0.21694362,0.26033235,0.47727597,-0.77738136,-0.7376083,-0.43027154,0.27109173,-0.00028288268,-0.0005186182,0.0006223419,1.0470543,-1.2365787,-1.9853355
6.0,-2.5481653,0.49430498,-0.19134387,0.25512516,0.44646904,-0.7231975,-0.6655886,-0.39400378,0.24433742,-0.0003120382,-0.00054606685,0.0007280892,0.89718574,-1.166514,-1.796097
7.0,-2.3842742,0.46965408,-0.16878194,0.24950373,0.41828567,-0.6731785,-0.60128564,-0.36129883,0.22057495,-0.00033915346,-0.0005685808,0.00084051077,0.76936704,-1.0991322,-1.6289245
8.0,-2.2332926,0.4465765,-0.14885883,0.24358718,0.392446,-0.6270114,-0.5437653,-0.33175427,0.19943057,-0.00036366825,-0.00058591,0.0009587618,0.66009116,-1.0347422,-1.4807719
9.0,-2.0940506,0.4249491,-0.13123429,0.23747155,0.36870584,-0.5843969,-0.49222046,-0.3050186,0.18058173,-0.00038510343,-0.0005979237,0.0010819572,0.5664587,-0.97351015,-1.3490775
10.0,-1.9654908,0.4046599,-0.11561711,0.23123422,0.34685132,-0.5450521,-0.4459517,-0.2807844,0.16374962,-0.0004030649,-0.0006045974,0.0012091948,0.48606378,-0.91549873,-1.2316761
11.0,-1.8466582,0.38560688,-0.10175737,0.22493735,0.3266947,-0.5087125,-0.40435165,-0.2587821,0.14869267,-0.00041724442,-0.00060599786,0.0013395742,0.41690293,-0.86069775,-1.1267313
