data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-5.1532173,0.7117703,-0.0,0.7117703,0.42706218,-1.4235406,-0.7117703,-1.1673033,0.506617,0.0,0.0,0.00033887418,-0.0,-3.5588517,-2.4086308
1.0,-4.6584907,0.66276747,0.0127455285,0.66276747,0.39511138,-1.2743077,-0.61178535,-1.0390056,0.43926072,1.3309243e-05,7.934356e-06,0.00041258652,-0.07352718,-3.160891,-2.1390665
2.0,-4.22528,0.6183957,0.022903545,0.6183957,0.36645672,-1.144329,-0.5267815,-0.9280177,0.38241324,3.0839914e-05,1.8275505e-05,0.0004934386,-0.1272105,-2.817136,-1.9071834
3.0,-3.844213,0.5780882,0.030969013,0.5780882,0.34065914,-1.0306414,-0.4542122,-0.8315549,0.33418602,5.2803905e-05,3.111659e-05,0.00058084296,-0.16581655,-2.5188131,-1.7066633
4.0,-3.5075972,0.5413634,0.037335407,0.5413634,0.31735095,-0.93081033,-0.39202178,-0.7473519,0.29307434,7.9307974e-05,4.6490884e-05,0.0006741178,-0.1929366,-2.2587922,-1.5324165
5.0,-3.2090735,0.50780946,0.042317454,0.50780946,0.29622218,-0.8428226,-0.33853963,-0.6735528,0.25787044,0.00011035931,6.437626e-05,0.00077251514,-0.2112934,-2.0312378,-1.380313
6.0,-2.9433548,0.4770727,0.046168324,0.4770727,0.27700993,-0.76500416,-0.29239938,-0.60862756,0.22759834,0.0001458744,8.4701256e-05,0.00087524636,-0.22296274,-1.8313435,-1.2469771
7.0,-2.7060177,0.44884783,0.049092732,0.44884783,0.25949016,-0.6959552,-0.2524769,-0.55130696,0.20146437,0.00018569,0.00010735204,0.0009815043,-0.22953488,-1.6551263,-1.129631
8.0,-2.493342,0.4228702,0.051256992,0.4228702,0.24347071,-0.63449943,-0.21784222,-0.50053227,0.1788192,0.0002295754,0.00013217978,0.0010904832,-0.23223324,-1.499267,-1.0259753
9.0,-2.302183,0.39890933,0.052796822,0.39890933,0.22878623,-0.57964355,-0.18772203,-0.45541573,0.15912864,0.00027724463,0.00015900796,0.0012013934,-0.23200229,-1.3609847,-0.93409497
10.0,-2.1298685,0.37676376,0.053823393,0.37676376,0.21529357,-0.5305449,-0.16147017,-0.41520903,0.14195094,0.00032836891,0.00018763938,0.0013134757,-0.22957325,-1.237938,-0.85238683
11.0,-1.9741188,0.35625675,0.054428115,0.35625675,0.20286843,-0.48648566,-0.13854429,-0.37927875,0.12691888,0.00038258787,0.00021786253,0.0014260092,-0.22551341,-1.1281464,-0.7795016
12.0,-1.8329792,0.3372327,0.054686386,0.3372327,0.19140235,-0.44685182,-0.11848717,-0.3470861,0.1137259,0.00043952014,0.00024945737,0.0015383204,-0.2202635,-1.0299269,-0.7142985
13.0,-1.7047681,0.31955412,0.05466057,0.31955412,0.18080035,-0.4111161,-0.100911826,-0.318171,0.10211483,0.0004987727,0.00028220034,0.0016497866,-0.2141661,-0.9418437,-0.6558082
14.0,-1.5880321,0.30309913,0.054402407,0.30309913,0.170979,-0.37882408,-0.0854895,-0.29213893,0.09186908,0.00055994897,0.00031586864,0.0017598396,-0.20748742,-0.8626667,-0.603204
15.0,-1.4815115,0.28775942,0.053954896,0.28775942,0.16186468,-0.34958276,-0.071939856,-0.2686504,0.08280549,0.0006226556,0.0003502438,0.001867967,-0.200434,-0.79133844,-0.55577755
16.0,-1.3841096,0.2734385,0.053353857,0.2734385,0.15339233,-0.3230511,-0.060023088,-0.24741223,0.07476862,0.0006865084,0.0003851145,0.001973712,-0.19316572,-0.7269463,-0.5129199
17.0,-1.2948694,0.26005006,0.052629177,0.26005006,0.14550419,-0.29893225,-0.04953334,-0.22817034,0.06762603,0.0007511368,0.00042027893,0.0020766724,-0.18580575,-0.6687001,-0.4741053
18.0,-1.2129524,0.24751672,0.051805824,0.24751672,0.13814887,-0.27696705,-0.04029342,-0.21070379,0.061264526,0.0008161873,0.0004555464,0.0021764995,-0.17844851,-0.6159137,-0.43887857
19.0,-1.1376222,0.23576905,0.050904684,0.23576905,0.1312805,-0.2569286,-0.032150324,-0.19482002,0.055587046,0.0008813266,0.0004907387,0.002272895,-0.17116567,-0.5679891,-0.40684408
20.0,-1.06823,0.2247445,0.04994322,0.2247445,0.12485805,-0.23861761,-0.02497161,-0.18035051,0.050510086,0.00094624335,0.00052569073,0.0023656085,-0.16401108,-0.5244038,-0.37765706
21.0,-1.0042026,0.21438658,0.04893607,0.21438658,0.11884473,-0.2218587,-0.018642312,-0.16714758,0.045961607,0.0010106493,0.0005602512,0.0024544338,-0.15702441,-0.48470008,-0.351016
22.0,-0.9450322,0.20464426,0.047895465,0.20464426,0.11320746,-0.20649709,-0.0130624,-0.15508126,0.041879274,0.0010742799,0.00059428246,0.002539207,-0.15023434,-0.44847572,-0.32665658
23.0,-0.8902681,0.19547126,0.046831656,0.19547126,0.10791642,-0.1923958,-0.008144636,-0.14403704,0.03820901,0.0011368952,0.00062766083,0.0026198018,-0.14366077,-0.41537642,-0.30434632
24.0,-0.8395089,0.18682556,0.045753196,0.18682556,0.102944694,-0.17943345,-0.0038127664,-0.1339137,0.034903787,0.0011982786,0.000660276,0.002696127,-0.13731676,-0.3850894,-0.28388038
25.0,-0.79239666,0.17866893,0.044667233,0.17866893,0.098267905,-0.16750212,0.0,-0.12462158,0.031922586,0.0012582378,0.00069203076,0.002768123,-0.13120998,-0.35733786,-0.26507768
26.0,-0.7486113,0.17096654,0.043579705,0.17096654,0.09386398,-0.15650569,0.003352285,-0.11608108,0.029229555,0.0013166021,0.00072284037,0.0028357583,-0.12534401,-0.33187622,-0.2477778
27.0,-0.7078657,0.16368657,0.042495552,0.16368657,0.08971283,-0.14635843,0.006295637,-0.1082214,0.026793294,0.0013732235,0.0007526321,0.0028990274,-0.11971912,-0.30848622,-0.23183833
28.0,-0.6699025,0.15679994,0.041418854,0.15679994,0.0857962,-0.13698365,0.008875469,-0.10097939,0.024586223,0.0014279743,0.0007813444,0.0029579469,-0.11433314,-0.28697348,-0.2171325
28.0,-0.6344899,0.15028001,0.040352967,0.15028001,0.08209742,-0.12831265,0.011131854,-0.09429865,0.022584084,0.0014807465,0.00080892636,0.0030125533,-0.10918204,-0.26716447,-0.20354725
30.0,-0.60141885,0.14410235,0.03930064,0.14410235,0.07860128,-0.120283775,0.013100213,-0.08812871,0.020765485,0.0015314504,0.0008353366,0.0030629009,-0.10426038,-0.24890405,-0.19098163
31.0,-0.5705009,0.13824446,0.038264092,0.13824446,0.07529386,-0.112841606,0.014811907,-0.0824243,0.019111533,0.0015800134,0.00086054305,0.0031090586,-0.099561684,-0.23205322,-0.17934513
32.0,-0.5415652,0.13268572,0.037245113,0.13268572,0.07216241,-0.105936214,0.016294738,-0.077144764,0.0176055,0.0016263786,0.0008845217,0.0031511085,-0.09507879,-0.21648723,-0.16855665
33.0,-0.51445717,0.12740707,0.036245115,0.12740707,0.06919522,-0.099522576,0.01757339,-0.07225352,0.016232561,0.0016705039,0.0009072564,0.0031891437,-0.09080403,-0.20209397,-0.15854324
34.0,-0.48903644,0.122390956,0.035265192,0.122390956,0.06638154,-0.093559995,0.018669806,-0.067717604,0.014979546,0.0017123601,0.0009287377,0.0032232662,-0.086729474,-0.18877248,-0.14923927
35.0,-0.4651753,0.117621146,0.03430617,0.117621146,0.06371146,-0.08801166,0.019603524,-0.06350725,0.013834734,0.0017519307,0.00094896246,0.0032535857,-0.082847014,-0.17643172,-0.14058551
36.0,-0.44275758,0.11308264,0.033368647,0.11308264,0.061175853,-0.082844205,0.020391952,-0.059595555,0.012787683,0.0017892099,0.0009679332,0.003280218,-0.07914853,-0.16498943,-0.1325285
37.0,-0.42167732,0.10876154,0.032453038,0.10876154,0.058766317,-0.07802735,0.02105062,-0.05595815,0.011829073,0.0018242017,0.0009856573,0.003303284,-0.07562596,-0.15437122,-0.12501983
38.0,-0.4018377,0.10464496,0.03155959,0.10464496,0.05647506,-0.07353358,0.021593405,-0.05257295,0.010950567,0.0018569191,0.0010021469,0.003322908,-0.072271384,-0.1445097,-0.118015654
39.0,-0.38315025,0.10072094,0.030688412,0.10072094,0.054294884,-0.06933786,0.022032706,-0.049419902,0.010144709,0.0018873833,0.0010174175,0.0033392166,-0.06907702,-0.13534378,-0.111476175
40.0,-0.36553392,0.09697838,0.029839503,0.09697838,0.05221913,-0.06541737,0.022379627,-0.046480764,0.009404807,0.0019156219,0.0010314886,0.0033523382,-0.06603535,-0.12681788,-0.105365224
41.0,-0.34891438,0.093406945,0.029012764,0.093406945,0.050241616,-0.061751295,0.022644108,-0.04373894,0.008724857,0.001941669,0.0010443826,0.0033624026,-0.06313906,-0.11888157,-0.099649906
42.0,-0.33322346,0.089997,0.028208015,0.089997,0.048356596,-0.058320623,0.022835061,-0.041179292,0.00809946,0.001965564,0.001056124,0.0033695383,-0.060381114,-0.11148883,-0.09430021
43.0,-0.31839845,0.08673959,0.027425017,0.08673959,0.04655875,-0.055107966,0.02296048,-0.038788017,0.0075237565,0.001987351,0.0010667399,0.003373875,-0.057754748,-0.10459774,-0.089288786
44.0,-0.3043816,0.08362634,0.026663471,0.08362634,0.04484311,-0.0520974,0.023027543,-0.036552493,0.0069933645,0.0020070781,0.0010762592,0.0033755403,-0.055253476,-0.09817005,-0.08459063
45.0,-0.29111978,0.08064944,0.025923034,0.08064944,0.043205056,-0.04927434,0.023042697,-0.034461178,0.006504332,0.002024796,0.0010847122,0.0033746604,-0.052871086,-0.09217079,-0.08018286
46.0,-0.27856395,0.07780159,0.025203332,0.07780159,0.04164029,-0.046625394,0.023011738,-0.0325035,0.0060530873,0.0020405597,0.0010921304,0.0033713593,-0.05060165,-0.08656797,-0.07604453
47.0,-0.26666883,0.07507596,0.02450396,0.07507596,0.040144783,-0.044138264,0.022939876,-0.030669775,0.0056363996,0.0020544245,0.0010985464,0.0033657593,-0.048439514,-0.08133229,-0.07215645
48.0,-0.25539252,0.07246615,0.023824489,0.07246615,0.038714793,-0.041801643,0.022831801,-0.028951105,0.0052513434,0.002066449,0.0011039934,0.00335798,-0.04637929,-0.0764369,-0.068500996
49.0,-0.24469635,0.069966175,0.023164477,0.069966175,0.03734681,-0.039605122,0.022691732,-0.02733932,0.0048952657,0.0020766929,0.001108505,0.0033481375,-0.044415854,-0.071857154,-0.06506195
50.0,-0.23454441,0.06757041,0.02252347,0.06757041,0.036037553,-0.037539117,0.02252347,-0.025826912,0.0045657605,0.002085216,0.0011121153,0.0033363458,-0.04254433,-0.06757041,-0.061824422
51.0,-0.22490343,0.06527358,0.021901006,0.06527358,0.03478395,-0.035594784,0.022330437,-0.024406964,0.0042606406,0.0020920802,0.0011148584,0.0033227154,-0.0407601,-0.06355586,-0.0587747
