data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-4.070554,0.74826354,0.74826354,-0.0,-0.29930544,-0.74826354,-1.4965271,-1.376805,0.5598984,0.0,-0.00023749907,0.0,-3.7413177,-0.0,1.7479436
1.0,-3.8030632,0.7089124,0.6952794,0.02726586,-0.25902566,-0.6813843,-1.3622442,-1.268649,0.50255674,2.7924252e-05,-0.0002652804,-1.0403152e-05,-3.3424325,-0.1572627,1.4597974
2.0,-3.5552256,0.6721368,0.64724284,0.04978791,-0.22404559,-0.6214269,-1.2410097,-1.1700159,0.45176786,6.455709e-05,-0.00029050693,-2.2346687e-05,-2.9956067,-0.27632633,1.2198038
3.0,-3.325799,0.63774645,0.6035815,0.06832998,-0.19360161,-0.56758624,-1.1315119,-1.0800611,0.40672055,0.000110265035,-0.0003124176,-3.536803e-05,-2.692828,-0.36526906,1.01931
4.0,-3.1135046,0.6055637,0.5638007,0.08352603,-0.16705206,-0.51915747,-1.0325545,-0.99799204,0.36670738,0.00016518992,-0.00033037984,-4.8945163e-05,-2.4274938,-0.4304421,0.8513497
5.0,-2.9170775,0.5754235,0.52747154,0.09590392,-0.14385587,-0.4755236,-0.94305515,-0.9230752,0.3311122,0.00022926471,-0.00034389706,-6.252674e-05,-2.194135,-0.47685558,0.71028835
6.0,-2.7352972,0.5471733,0.49422106,0.10590451,-0.123555265,-0.4361444,-0.86204,-0.85463804,0.29939866,0.0003022357,-0.0003526083,-7.555893e-05,-1.9881984,-0.50847393,0.59154814
7.0,-2.5670073,0.52067256,0.46372402,0.11389713,-0.10576162,-0.4005467,-0.7886359,-0.79206806,0.27109995,0.0003836887,-0.00035628237,-8.750795e-05,-1.8058745,-0.5284426,0.4913939
8.0,-2.4111235,0.49579185,0.43569586,0.12019196,-0.09014397,-0.36831552,-0.7220623,-0.73480994,0.24580954,0.00047307686,-0.00035480765,-9.787797e-05,-1.6439617,-0.5392635,0.40676534
9.0,-2.2666383,0.47241214,0.409887,0.12505028,-0.07641961,-0.33908647,-0.66162217,-0.6823617,0.22317322,0.0005697484,-0.00034817957,-0.00010622428,-1.4997574,-0.5429302,0.3351456
10.0,-2.1326206,0.4504242,0.38607788,0.12869263,-0.06434631,-0.31253922,-0.6066938,-0.6342708,0.20288195,0.0006729733,-0.00033648664,-0.00011216221,-1.3709704,-0.5410343,0.2744567
11.0,-2.0082142,0.42972767,0.36407486,0.13130568,-0.05371596,-0.2883917,-0.5567228,-0.5901295,0.18466589,0.00078196754,-0.0003198958,-0.00011537226,-1.2556509,-0.53484774,0.22297719
