data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-2.707033,0.6570468,-0.52563745,-0.13140936,0.6570468,-0.89358366,-1.2878118,-0.6570468,0.4317105,8.341874e-05,-0.00041709372,-0.00010427343,2.8174167,0.7831998,-3.2852342
1.0,-2.612705,0.63044393,-0.47283295,-0.096991375,0.61832,-0.85776746,-1.1974704,-0.60596293,0.39745954,7.596086e-05,-0.0004842505,-9.933343e-05,2.4619138,0.55726993,-2.9724636
2.0,-2.5146286,0.6048051,-0.4256036,-0.06720057,0.582405,-0.8205107,-1.1125427,-0.55917513,0.36578923,6.367564e-05,-0.0005518555,-8.713508e-05,2.153706,0.37250686,-2.6955202
3.0,-2.4149756,0.58015656,-0.3833177,-0.041439753,0.54907674,-0.78273034,-1.0330338,-0.5163319,0.33658162,4.668416e-05,-0.00061856513,-6.68719e-05,1.886153,0.22178724,-2.4496596
4.0,-2.3153539,0.55650544,-0.3454172,-0.019189844,0.5181258,-0.7450953,-0.9588305,-0.4770992,0.30969834,2.5301246e-05,-0.00068313367,-3.795187e-05,1.6535667,0.09923499,-2.2308364
5.0,-2.2169414,0.5338454,-0.3114098,-1.7315758e-16,0.48935828,-0.7080866,-0.8897423,-0.4411639,0.2849909,0.0,-0.00074444595,-1.8815672e-19,1.4510832,2.4049664e-16,-2.0355945
6.0,-2.1205866,0.51215976,-0.2808618,0.016521282,0.4625959,-0.67204314,-0.8255312,-0.40823555,0.2623076,-2.8626346e-05,-0.0008015377,4.714928e-05,1.2745456,-0.079924494,-1.8609737
7.0,-2.0268874,0.4914248,-0.2533909,0.03071405,0.4376752,-0.63719654,-0.7659316,-0.37804675,0.24149832,-5.9902148e-05,-0.0008536056,0.00010346735,1.120401,-0.14385213,-1.704433
8.0,-1.9362501,0.4716118,-0.22866026,0.0428738,0.4144467,-0.6036977,-0.7106657,-0.35035256,0.22241768,-9.3104405e-05,-0.00090000924,0.00016875174,0.9856118,-0.19452657,-1.5637847
9.0,-1.8489357,0.4526887,-0.2063728,0.053257495,0.39277402,-0.571637,-0.6594531,-0.32492945,0.20492706,-0.00012749375,-0.0009402664,0.0002426494,0.867578,-0.23422241,-1.4371418
10.0,-1.7650954,0.43462148,-0.18626635,0.062088784,0.3725327,-0.5410594,-0.612018,-0.30157408,0.18889584,-0.00016234066,-0.000974044,0.0003246813,0.7640722,-0.26482767,-1.3228712
11.0,-1.6847973,0.41737497,-0.16810937,0.069562495,0.35360935,-0.5119768,-0.5680937,-0.28010178,0.17420188,-0.00019694662,-0.0010011453,0.00041426704,0.6731833,-0.28791144,-1.2195567
12.0,-1.6080476,0.40091372,-0.15169708,0.07584854,0.33590066,-0.48437637,-0.5274255,-0.26034498,0.16073179,-0.00023066041,-0.0010214961,0.00051074807,0.59326965,-0.30477926,-1.1259665
13.0,-1.5348072,0.38520232,-0.1368482,0.081095226,0.31931245,-0.45822805,-0.4897725,-0.24215195,0.14838083,-0.00026288995,-0.0010351292,0.00061340985,0.52291834,-0.3165185,-1.0410272
14.0,-1.4650036,0.3702061,-0.12340204,0.08543218,0.30375886,-0.4334892,-0.4549081,-0.22538517,0.13705255,-0.00029310994,-0.0010421687,0.0007215014,0.46091187,-0.32403564,-0.96380025
15.0,-1.3985409,0.3558911,-0.11121597,0.08897278,0.28916153,-0.4101089,-0.4226207,-0.20992015,0.12665848,-0.0003208664,-0.0010428159,0.0008342527,0.40619898,-0.32808712,-0.89346397
16.0,-1.3353068,0.3422245,-0.10016327,0.091816336,0.275449,-0.3880309,-0.39271334,-0.19564413,0.11711762,-0.00034577804,-0.0010373341,0.00095088966,0.3578707,-0.3293044,-0.82929647
17.0,-1.2751784,0.32917464,-0.09013115,0.09404989,0.26255596,-0.36719579,-0.36500317,-0.18245493,0.10835594,-0.0003675355,-0.0010260367,0.0010706469,0.31513968,-0.32821494,-0.7706627
18.0,-1.2180271,0.31671104,-0.0810191,0.09574985,0.2504227,-0.34754282,-0.33932102,-0.17026001,0.10030588,-0.00038589892,-0.001009274,0.0011927785,0.27732283,-0.32525948,-0.7170025
19.0,-1.1637207,0.3048046,-0.07273746,0.096983284,0.23899452,-0.32901105,-0.31551054,-0.15897544,0.09290585,-0.00040069385,-0.0009874242,0.0013165654,0.24382642,-0.32080626,-0.6678206
20.0,-1.1121267,0.2934276,-0.065206125,0.09780919,0.22822145,-0.3115404,-0.2934276,-0.14852507,0.086099744,-0.00041180674,-0.0009608824,0.0014413235,0.2141337,-0.31516296,-0.6226783
21.0,-1.063114,0.28255346,-0.05835343,0.09827947,0.21805757,-0.29507208,-0.27293918,-0.13883978,0.07983646,-0.0004191794,-0.0009300543,0.0015664073,0.18779409,-0.3085864,-0.5811863
22.0,-1.0165542,0.2721571,-0.05211519,0.098439805,0.20846076,-0.27954933,-0.25392297,-0.12985677,0.07406949,-0.0004228034,-0.0008953483,0.0016912136,0.16441411,-0.30129087,-0.5429983
23.0,-0.97232234,0.26221463,-0.04643384,0.09833048,0.19939236,-0.26491758,-0.2362663,-0.12151895,0.068756506,-0.00042271413,-0.0008571703,0.0018151841,0.14364965,-0.29345503,-0.5078058
24.0,-0.9302976,0.2527033,-0.041257683,0.097986996,0.19081679,-0.25112456,-0.21986556,-0.113774374,0.06385896,-0.00041898526,-0.00081591867,0.0019378068,0.12519929,-0.28522745,-0.47533327
25.0,-0.8903642,0.2436017,-0.036540255,0.09744068,0.18270127,-0.23812066,-0.20462543,-0.10657574,0.05934179,-0.0004117231,-0.0007719808,0.0020586154,0.10879861,-0.27673152,-0.44533435
26.0,-0.8524111,0.23488943,-0.032239724,0.096719176,0.17501566,-0.22585869,-0.19045821,-0.099879935,0.055173043,-0.00040106126,-0.0007257299,0.0021771896,0.09421536,-0.26806942,-0.4175883
27.0,-0.81633246,0.22654723,-0.028318403,0.09584691,0.16773209,-0.21429408,-0.17728326,-0.09364762,0.05132365,-0.0003871559,-0.0006775228,0.0022931541,0.08124523,-0.2593254,-0.39189696
28.0,-0.7820274,0.21855687,-0.024742287,0.09484543,0.16082487,-0.20338471,-0.16502638,-0.0878429,0.047767103,-0.000370181,-0.0006276982,0.0024061764,0.06970824,-0.25056887,-0.36808226
28.0,-0.74940044,0.21090108,-0.021480666,0.09373382,0.15427025,-0.19309095,-0.1536193,-0.08243296,0.04447927,-0.00035032447,-0.0005765757,0.0025159668,0.059445683,-0.2418564,-0.3459838
30.0,-0.71836066,0.20356357,-0.018505778,0.092528895,0.14804623,-0.18337545,-0.1429992,-0.0773878,0.041438125,-0.0003277842,-0.00052445475,0.0026222735,0.050317366,-0.23323399,-0.325457
31.0,-0.6888224,0.19652887,-0.015792498,0.09124555,0.14213249,-0.17420316,-0.1331082,-0.07267996,0.038623597,-0.00030276488,-0.00047161453,0.002724884,0.04219936,-0.22473872,-0.30637118
32.0,-0.6607044,0.18978238,-0.013318062,0.08989692,0.13651013,-0.16554117,-0.12389302,-0.06828427,0.036017355,-0.00027547506,-0.00041831398,0.0028236194,0.034981947,-0.21640006,-0.28860822
33.0,-0.63392997,0.1833103,-0.011061829,0.08849463,0.13116169,-0.1573586,-0.11530458,-0.06417768,0.033602666,-0.00024612455,-0.00036479175,0.002918334,0.028567895,-0.20824122,-0.27206108
34.0,-0.60842675,0.17709956,-0.009005062,0.08704893,0.12607087,-0.14962648,-0.1072976,-0.060339004,0.03136425,-0.00021492234,-0.00031126683,0.0030089128,0.022870943,-0.20028006,-0.25663263
35.0,-0.5841265,0.17113777,-0.0071307397,0.08556888,0.12122258,-0.14231768,-0.09983036,-0.056748804,0.029288132,-0.00018207458,-0.00025793898,0.0030952678,0.01781447,-0.19252998,-0.2422347
36.0,-0.56096464,0.16541323,-0.0054233843,0.08406246,0.11660276,-0.13540679,-0.09286434,-0.053389218,0.027361535,-0.00014778315,-0.00020498954,0.0031773378,0.013330361,-0.18500067,-0.2287871
37.0,-0.53888065,0.15991487,-0.0038689082,0.08253671,0.11219834,-0.12887001,-0.086364016,-0.050243806,0.025572767,-0.00011224427,-0.00015258206,0.003255084,0.009357997,-0.1776987,-0.21621676
38.0,-0.51781726,0.15463221,-0.0024544795,0.080997825,0.1079971,-0.122685015,-0.080296546,-0.047297433,0.02391112,-7.564748e-05,-0.000100863304,0.003328489,0.0058433805,-0.17062807,-0.20445709
39.0,-0.4977205,0.14955531,-0.0011684009,0.079451256,0.10398767,-0.11683095,-0.0746316,-0.044536155,0.02236679,-3.8174774e-05,-4.996404e-05,0.0033975549,0.0027383682,-0.16379063,-0.19344729
40.0,-0.47853956,0.14467475,-0.0,0.07790179,0.100159444,-0.11128827,-0.06934115,-0.041947115,0.020930784,0.0,0.0,0.0034623006,2.924374e-17,-0.15718645,-0.18313175
