data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,0.08368175,0.52140164,-0.52140164,-0.40553463,-0.52140164,-0.52140164,-0.72738755,-0.52140164,0.2718597,0.00032179203,0.0004137326,0.00032179203,2.6070085,2.1878843,2.6070085
1.0,-0.099012464,0.52130187,-0.49093473,-0.36946636,-0.49093473,-0.53977764,-0.7402594,-0.53977764,0.2717556,0.00036430292,0.00048407374,0.00036430292,2.3958116,1.9451225,2.3958116
2.0,-0.2564083,0.5194866,-0.4612264,-0.334996,-0.4612264,-0.55179286,-0.74526745,-0.55179286,0.26986632,0.00040247265,0.000554129,0.00040247265,2.1968784,1.7203914,2.1968784
3.0,-0.39109743,0.51619834,-0.43249047,-0.30227828,-0.43249047,-0.5584293,-0.7437764,-0.5584293,0.2664607,0.0004348088,0.0006221111,0.0004348088,2.0108123,1.513943,2.0108123
4.0,-0.505541,0.5116538,-0.40487388,-0.27139896,-0.40487388,-0.5605559,-0.7369749,-0.5605559,0.2617896,0.000460115,0.0006864011,0.000460115,1.8377447,1.3254735,1.8377447
5.0,-0.60203046,0.5060458,-0.37847123,-0.24239168,-0.37847123,-0.55893385,-0.72588855,-0.55893385,0.25608236,0.0004775211,0.0007456031,0.0004775211,1.6774766,1.1543089,1.6774766
6.0,-0.68266845,0.4995449,-0.35333663,-0.21525106,-0.35333663,-0.55422443,-0.711395,-0.55422443,0.24954511,0.00048648912,0.0007985765,0.00048648912,1.529584,0.99953943,1.529584
7.0,-0.749364,0.49230143,-0.32949308,-0.18994308,-0.32949308,-0.5469982,-0.6942399,-0.5469982,0.2423607,0.00048679978,0.0008444486,0.00048679978,1.3934969,0.8601198,1.3934969
8.0,-0.8038365,0.48444736,-0.30693993,-0.16641322,-0.30693993,-0.53774476,-0.6750533,-0.53774476,0.23468925,0.00047852477,0.00088261237,0.00047852477,1.2685574,0.7349392,1.2685574
9.0,-0.8476247,0.47609827,-0.28565896,-0.1445928,-0.28565896,-0.52688205,-0.6543641,-0.52688205,0.22666955,0.00046199007,0.0009127121,0.00046199007,1.1540622,0.6228717,1.1540622
10.0,-0.882099,0.46735498,-0.265619,-0.12440384,-0.265619,-0.5147653,-0.63261396,-0.5147653,0.21842068,0.00043773375,0.0009346207,0.00043773375,1.0492921,0.52281034,1.0492921
11.0,-0.90847504,0.45830533,-0.2467798,-0.10576277,-0.2467798,-0.5016952,-0.6101698,-0.5016952,0.21004377,0.0004064623,0.00094841205,0.0004064623,0.95353377,0.43368992,0.95353377
12.0,-0.92782825,0.44902557,-0.22909468,-0.088583276,-0.22909468,-0.48792493,-0.58733433,-0.48792493,0.20162398,0.00036900793,0.0009543309,0.00036900793,0.8660943,0.3545012,0.8660943
13.0,-0.94110715,0.43958178,-0.21251304,-0.07277844,-0.21251304,-0.47366714,-0.56435585,-0.47366714,0.19323213,0.0003262883,0.0009527619,0.0003262883,0.7863104,0.28429905,0.7863104
14.0,-0.94914675,0.43003094,-0.19698192,-0.05826226,-0.19698192,-0.4590994,-0.54143625,-0.4590994,0.18492661,0.00027927035,0.00094419974,0.00027927035,0.7135542,0.22220655,0.7135542
15.0,-0.952681,0.42042226,-0.18244739,-0.044950806,-0.18244739,-0.4443694,-0.5187386,-0.4443694,0.17675486,0.00022893854,0.00092922116,0.00022893854,0.6472368,0.16741557,0.6472368
16.0,-0.952354,0.41079786,-0.16885556,-0.03276302,-0.16885556,-0.4295991,-0.496393,-0.4295991,0.16875488,0.00017626825,0.0009084594,0.00017626825,0.58680946,0.11918567,0.58680946
17.0,-0.9487302,0.40119386,-0.1561533,-0.021621225,-0.1561533,-0.41488874,-0.47450176,-0.41488874,0.16095652,0.00012220368,0.00088258216,0.00012220368,0.5317633,0.076841444,0.5317633
18.0,-0.9423037,0.39164102,-0.1442888,-0.011451492,-0.1442888,-0.40032005,-0.45314422,-0.40032005,0.15338269,6.764062e-05,0.00085227186,6.764062e-05,0.4816288,0.039769076,0.4816288
19.0,-0.93350685,0.3821654,-0.13321194,-0.0021838022,-0.13321194,-0.38595897,-0.43238038,-0.38595897,0.1460504,1.3413272e-05,0.0008182096,1.3413272e-05,0.43597385,0.0074123777,0.43597385
20.0,-0.92271703,0.372789,-0.12287459,0.0062478604,-0.12287459,-0.3718582,-0.41225407,-0.3718582,0.13897164,-3.971502e-05,0.00078106206,-3.971502e-05,0.3944021,-0.020731367,0.3944021
21.0,-0.91026396,0.36353025,-0.113230735,0.013905529,-0.113230735,-0.35805923,-0.3927959,-0.35805923,0.13215424,-9.105781e-05,0.0007414707,-9.105781e-05,0.3565505,-0.04511563,0.3565505
22.0,-0.8964348,0.35440445,-0.1042366,0.02084732,-0.1042366,-0.34459394,-0.37402546,-0.34459394,0.12560251,-0.00014000876,0.0007000438,-0.00014000876,0.3220875,-0.066148765,0.3220875
23.0,-0.8814799,0.34542423,-0.095850706,0.027127558,-0.095850706,-0.33148646,-0.35595334,-0.33148646,0.119317904,-0.00018604255,0.00065735035,-0.00018604255,0.29071027,-0.084197976,0.29071027
24.0,-0.86561704,0.33659983,-0.0880338,0.03279691,-0.0880338,-0.31875408,-0.3385827,-0.31875408,0.11329945,-0.00022871386,0.00061391614,-0.00022871386,0.26214278,-0.09959306,0.26214278
25.0,-0.8490353,0.32793945,-0.08074891,0.03790255,-0.08074891,-0.3064086,-0.3219108,-0.3064086,0.10754428,-0.0002676549,0.0005702213,-0.0002676549,0.23613362,-0.11262994,0.23613362
26.0,-0.83189887,0.31944948,-0.073961206,0.042488355,-0.073961206,-0.29445723,-0.3059301,-0.29445723,0.102047965,-0.0003025717,0.0005266989,-0.0003025717,0.21245383,-0.12357389,0.21245383
27.0,-0.8143499,0.3111348,-0.067637995,0.046595067,-0.067637995,-0.28290328,-0.29062918,-0.28290328,0.09680486,-0.00033323982,0.00048373523,-0.00033323982,0.19089514,-0.13266256,0.19089514
28.0,-0.7965113,0.30299893,-0.061748598,0.050260488,-0.061748598,-0.2717469,-0.2759937,-0.2717469,0.09180836,-0.0003594992,0.00044167045,-0.0003594992,0.17126806,-0.14010869,0.17126806
29.0,-0.77848923,0.29504427,-0.056264255,0.05351966,-0.056264255,-0.26098573,-0.26200697,-0.26098573,0.08705112,-0.00038124874,0.00040079997,-0.00038124874,0.15340029,-0.14610259,0.15340029
