data_tag,u_t,u,u_x,u_y,u_z,u_xx,u_yy,u_zz,u2,u_xy,u_xz,u_yz,u_xxx,u_yyy,u_zzz
0.0,-4.287047,0.7710516,0.7710516,-0.15421031,-0.0,-0.7710516,-1.5112611,-1.5421032,0.59452057,-0.000122366,0.0,0.0,-3.855258,0.9190935,-0.0
1.0,-3.9953177,0.72965956,0.7156276,-0.11225531,0.014031914,-0.7013259,-1.3859214,-1.4029216,0.53240305,-0.00011496596,1.4370745e-05,-2.2542345e-06,-3.4402528,0.6449699,-0.08094817
2.0,-3.7264638,0.691069,0.6654738,-0.076785445,0.025595147,-0.63893074,-1.2712257,-1.2788094,0.47757635,-9.956323e-05,3.318774e-05,-3.8293547e-06,-3.0799844,0.4256378,-0.14216015
3.0,-3.478752,0.6550598,0.61996734,-0.046789985,0.035092488,-0.5829949,-1.1664075,-1.1678697,0.42910334,-7.5505646e-05,5.6629236e-05,-4.273905e-06,-2.765932,0.2504219,-0.18789476
4.0,-3.2504954,0.6214291,0.5785719,-0.021428589,0.042857178,-0.5327591,-1.0706905,-1.0684738,0.3861741,-4.237945e-05,8.47589e-05,-3.1392185e-06,-2.4910927,0.11081205,-0.22147122
5.0,-3.0400894,0.5899904,0.54082453,-1.0917015e-16,0.049165867,-0.48756152,-0.9833173,-0.9792202,0.34808868,-2.3725324e-19,0.00011753429,0.0,-2.2496798,6.0650084e-16,-0.24548791
6.0,-2.84603,0.56057286,0.5063239,0.018082995,0.054248985,-0.44682497,-0.9035664,-0.89889985,0.31424192,5.160617e-05,0.00015481851,5.5292326e-06,-2.0368867,-0.08747955,-0.26198703
7.0,-2.6669219,0.53301996,0.47472093,0.033313747,0.05829906,-0.41004542,-0.8307616,-0.8264673,0.2841103,0.00011222503,0.00019639381,1.3782022e-05,-1.8486996,-0.15602806,-0.27257943
8.0,-2.5014796,0.50718886,0.44571143,0.04610808,0.061477438,-0.37678218,-0.7642763,-0.76101613,0.25724053,0.0001814819,0.00024197585,2.5031984e-05,-1.6817523,-0.20920111,-0.27853966
9.0,-2.3485265,0.48294878,0.4190291,0.0568175,0.06391969,-0.34664944,-0.70353436,-0.7017588,0.23323952,0.00025886935,0.000291228,3.9488543e-05,-1.5332078,-0.24987905,-0.28087893
10.0,-2.2069871,0.46018028,0.39444026,0.06574004,0.06574004,-0.3193088,-0.648009,-0.648009,0.2117659,0.00034377488,0.00034377488,5.7295812e-05,-1.4006654,-0.2804014,-0.2804014
11.0,-2.075883,0.43877426,0.3717393,0.07312904,0.06703495,-0.2944629,-0.59722054,-0.5991672,0.19252284,0.00043550695,0.0003992147,7.853404e-05,-1.2820847,-0.30267298,-0.27774766
12.0,-1.954324,0.41863084,0.35074475,0.079200424,0.06788608,-0.2718501,-0.55073345,-0.5547088,0.17525177,0.00053331896,0.00045713055,0.00010322303,-1.1757251,-0.31824803,-0.27342868
13.0,-1.841502,0.39965865,0.331296,0.08413866,0.06836267,-0.25123972,-0.50815326,-0.51417303,0.15972704,0.00063643063,0.0005170999,0.00013132696,-1.080096,-0.32839718,-0.2678524
14.0,-1.7366831,0.38177413,0.31325054,0.08810172,0.068523556,-0.2324279,-0.46912283,-0.47715488,0.14575148,0.0007440465,0.00057870283,0.00016276017,-0.99391663,-0.33416095,-0.2613446
15.0,-1.6392016,0.36490056,0.2964817,0.09122514,0.06841885,-0.21523431,-0.4333194,-0.44329715,0.13315241,0.0008553719,0.0006415289,0.00019739351,-0.9160821,-0.3363927,-0.25416535
16.0,-1.5484531,0.34896764,0.2808764,0.09362546,0.06809125,-0.19949906,-0.40045127,-0.4122842,0.12177841,0.0009696258,0.0007051824,0.0002350608,-0.8456368,-0.33579293,-0.2465219
17.0,-1.4638888,0.33391088,0.26633367,0.095403105,0.0675772,-0.18508014,-0.3702549,-0.3838366,0.11149647,0.0010860517,0.0007692866,0.00027556534,-0.7817512,-0.33293736,-0.23857932
18.0,-1.3850101,0.31967092,0.25276306,0.0966447,0.06690787,-0.17185122,-0.34249222,-0.3577064,0.102189496,0.0012039258,0.00083348714,0.00031868625,-0.7237034,-0.32829925,-0.23046847
19.0,-1.3113643,0.30619323,0.24008334,0.09742512,0.0661099,-0.1596997,-0.31694797,-0.33367312,0.0937543,0.0013225635,0.0008974538,0.00036418415,-0.67086303,-0.3222678,-0.22229284
20.0,-1.2425389,0.2934276,0.22822145,0.09780919,0.065206125,-0.14852507,-0.2934276,-0.3115404,0.086099744,0.0014413235,0.0009608824,0.00041180674,-0.6226783,-0.31516296,-0.2141337
